Traditional,Simplified,PinyinNumbered,Pinyin,Freq
不,不,bu4,bù,2154
縣,县,xian4,xiàn,1856
大,大,da4,dà,1854
人,人,ren2,rén,1703
一,一,yi1,yī,1254
子,子,zi5,zi,1130
區,区,qu1,qū,1122
國,国,guo2,guó,1040
山,山,shan1,shān,1036
學,学,xue2,xué,992
市,市,shi4,shì,959
斯,斯,si1,sī,938
水,水,shui3,shuǐ,937
中,中,zhong1,zhōng,906
心,心,xin1,xīn,891
生,生,sheng1,shēng,858
爾,尔,er3,ěr,842
無,无,wu2,wú,826
頭,头,tou2,tóu,808
地,地,di4,dì,804
自,自,zi4,zì,794
馬,马,ma3,mǎ,784
天,天,tian1,tiān,781
性,性,xing4,xìng,732
有,有,you3,yǒu,731
拉,拉,la1,lā,724
小,小,xiao3,xiǎo,708
家,家,jia1,jiā,707
海,海,hai3,hǎi,701
動,动,dong4,dòng,692
兒,儿,r5,r,684
白,白,bai2,bái,675
機,机,ji1,jī,673
化,化,hua4,huà,654
金,金,jin1,jīn,653
會,会,hui4,huì,644
子,子,zi3,zǐ,640
安,安,an1,ān,635
西,西,xi1,xī,635
克,克,ke4,kè,629
花,花,hua1,huā,628
體,体,ti3,tǐ,621
高,高,gao1,gāo,615
上,上,shang4,shàng,609
電,电,dian4,diàn,604
公,公,gong1,gōng,603
法,法,fa3,fǎ,600
氣,气,qi4,qì,592
手,手,shou3,shǒu,590
三,三,san1,sān,587
物,物,wu4,wù,580
出,出,chu1,chū,564
利,利,li4,lì,562
特,特,te4,tè,561
平,平,ping2,píng,561
文,文,wen2,wén,557
力,力,li4,lì,553
口,口,kou3,kǒu,548
下,下,xia4,xià,547
之,之,zhi1,zhī,542
德,德,de2,dé,540
事,事,shi4,shì,539
主,主,zhu3,zhǔ,531
理,理,li3,lǐ,529
行,行,xing2,xíng,520
開,开,kai1,kāi,518
亞,亚,ya4,yà,518
道,道,dao4,dào,518
風,风,feng1,fēng,517
車,车,che1,chē,515
多,多,duo1,duō,514
分,分,fen1,fēn,514
新,新,xin1,xīn,511
合,合,he2,hé,508
門,门,men2,mén,505
南,南,nan2,nán,502
語,语,yu3,yǔ,500
發,发,fa1,fā,495
日,日,ri4,rì,485
時,时,shi2,shí,484
數,数,shu4,shù,481
成,成,cheng2,chéng,479
工,工,gong1,gōng,474
城,城,cheng2,chéng,472
石,石,shi2,shí,466
通,通,tong1,tōng,464
打,打,da3,dǎ,463
外,外,wai4,wài,449
器,器,qi4,qì,449
者,者,zhe3,zhě,447
定,定,ding4,dìng,446
面,面,mian4,miàn,443
眼,眼,yan3,yǎn,442
東,东,dong1,dōng,438
義,义,yi4,yì,438
神,神,shen2,shén,437
光,光,guang1,guāng,437
羅,罗,luo2,luó,437
巴,巴,ba1,bā,431
族,族,zu2,zú,431
可,可,ke3,kě,428
紅,红,hong2,hóng,425
點,点,dian3,diǎn,425
阿,阿,a1,ā,422
病,病,bing4,bìng,421
州,州,zhou1,zhōu,419
里,里,li3,lǐ,417
明,明,ming2,míng,415
民,民,min2,mín,413
路,路,lu4,lù,413
流,流,liu2,liú,411
線,线,xian4,xiàn,411
加,加,jia1,jiā,411
方,方,fang1,fāng,410
老,老,lao3,lǎo,405
長,长,chang2,cháng,404
林,林,lin2,lín,400
黃,黄,huang2,huáng,399
陽,阳,yang2,yáng,394
名,名,ming2,míng,394
本,本,ben3,běn,394
空,空,kong1,kōng,391
作,作,zuo4,zuò,391
火,火,huo3,huǒ,390
河,河,he2,hé,389
經,经,jing1,jīng,388
色,色,se4,sè,388
字,字,zi4,zì,388
龍,龙,long2,lóng,387
用,用,yong4,yòng,385
音,音,yin1,yīn,384
江,江,jiang1,jiāng,379
美,美,mei3,měi,371
年,年,nian2,nián,367
交,交,jiao1,jiāo,367
二,二,er4,èr,366
科,科,ke1,kē,366
布,布,bu4,bù,362
言,言,yan2,yán,362
治,治,zhi4,zhì,361
後,后,hou4,hòu,361
書,书,shu1,shū,358
管,管,guan3,guǎn,358
來,来,lai2,lái,357
黑,黑,hei1,hēi,356
北,北,bei3,běi,354
意,意,yi4,yì,354
格,格,ge2,gé,350
基,基,ji1,jī,350
業,业,ye4,yè,348
木,木,mu4,mù,348
尼,尼,ni2,ní,344
同,同,tong2,tóng,344
情,情,qing2,qíng,343
反,反,fan3,fǎn,342
星,星,xing1,xīng,342
鄉,乡,xiang1,xiāng,341
報,报,bao4,bào,341
前,前,qian2,qián,341
對,对,dui4,duì,333
過,过,guo4,guò,329
然,然,ran2,rán,328
清,清,qing1,qīng,328
身,身,shen1,shēn,328
全,全,quan2,quán,325
網,网,wang3,wǎng,323
正,正,zheng4,zhèng,322
死,死,si3,sǐ,320
魚,鱼,yu2,yú,319
和,和,he2,hé,317
蘭,兰,lan2,lán,315
如,如,ru2,rú,315
場,场,chang3,chǎng,315
代,代,dai4,dài,315
世,世,shi4,shì,314
球,球,qiu2,qiú,314
關,关,guan1,guān,313
信,信,xin4,xìn,312
卡,卡,ka3,kǎ,311
達,达,da2,dá,311
戰,战,zhan4,zhàn,311
皮,皮,pi2,pí,306
度,度,du4,dù,304
教,教,jiao4,jiào,302
古,古,gu3,gǔ,302
內,内,nei4,nèi,302
單,单,dan1,dān,300
比,比,bi3,bǐ,300
詞,词,ci2,cí,299
運,运,yun4,yùn,297
起,起,qi3,qǐ,297
軍,军,jun1,jūn,296
變,变,bian4,biàn,296
員,员,yuan2,yuán,295
聲,声,sheng1,shēng,295
保,保,bao3,bǎo,291
式,式,shi4,shì,291
原,原,yuan2,yuán,291
節,节,jie2,jié,288
而,而,er2,ér,288
見,见,jian4,jiàn,288
波,波,bo1,bō,288
角,角,jiao3,jiǎo,288
回,回,hui2,huí,286
以,以,yi3,yǐ,284
相,相,xiang1,xiāng,283
土,土,tu3,tǔ,281
士,士,shi4,shì,281
女,女,nu:3,nǚ,280
形,形,xing2,xíng,279
包,包,bao1,bāo,278
說,说,shuo1,shuō,277
知,知,zhi1,zhī,276
目,目,mu4,mù,274
熱,热,re4,rè,274
太,太,tai4,tài,274
四,四,si4,sì,274
得,得,de2,dé,273
草,草,cao3,cǎo,272
入,入,ru4,rù,272
尾,尾,wei3,wěi,272
王,王,wang2,wáng,270
油,油,you2,yóu,270
為,为,wei2,wéi,270
解,解,jie3,jiě,269
血,血,xue4,xuè,269
