char,level
人,1
你,1
我,1
他,1
她,1
您,1
們,1
大,1
家,1
誰,1
名,1
字,1
先,1
生,1
小,1
姐,1
太,1
女,1
孩,1
男,1
朋,1
友,1
哥,1
姊,1
弟,1
妹,1
爸,1
媽,1
爺,1
奶,1
阿,1
姨,1
兒,1
子,1
娃,1
身,1
體,1
頭,1
髮,1
毛,1
臉,1
眼,1
睛,1
耳,1
朵,1
鼻,1
口,1
嘴,1
巴,1
牙,1
齒,1
肚,1
手,1
指,1
腳,1
腿,1
便,1
洗,1
澡,1
爬,1
睡,1
覺,1
拿,1
放,1
打,1
拍,1
做,1
站,1
坐,1
走,1
跑,1
看,1
見,1
說,1
聽,1
叫,1
問,1
哈,1
笑,1
哭,1
快,1
樂,1
害,1
怕,1
可,1
累,1
痛,1
愛,1
喜,1
歡,1
討,1
厭,1
得,1
想,1
知,1
道,1
意,1
思,1
胖,1
瘦,1
老,1
美,1
乖,1
漂,1
亮,1
好,1
像,1
工,1
師,1
學,1
醫,1
警,1
察,1
護,1
士,1
上,1
班,1
作,1
忙,1
零,1
一,1
二,1
兩,1
三,1
四,1
五,1
六,1
七,1
八,1
九,1
十,1
百,1
每,1
多,1
少,1
數,1
剩,1
下,1
歲,1
起,1
本,1
頁,1
次,1
種,1
塊,1
個,1
隻,1
元,1
錢,1
買,1
最,1
很,1
真,1
非,1
常,1
樣,1
年,1
月,1
日,1
號,1
天,1
星,1
期,1
今,1
明,1
昨,1
假,1
早,1
午,1
中,1
晚,1
現,1
在,1
開,1
始,1
幾,1
點,1
分,1
半,1
再,1
就,1
等,1
著,1
了,1
顏,1
色,1
白,1
黃,1
黑,1
綠,1
藍,1
紅,1
長,1
高,1
短,1
矮,1
圓,1
形,1
角,1
正,1
方,1
衣,1
服,1
帽,1
外,1
套,1
裙,1
褲,1
鞋,1
襪,1
皮,1
包,1
穿,1
戴,1
門,1
窗,1
戶,1
櫃,1
床,1
燈,1
桌,1
椅,1
冷,1
氣,1
冰,1
箱,1
棉,1
被,1
電,1
話,1
視,1
腦,1
機,1
刀,1
叉,1
杯,1
筷,1
碗,1
水,1
壺,1
花,1
瓶,1
錶,1
鐘,1
傘,1
雨,1
照,1
片,1
相,1
新,1
髒,1
破,1
肉,1
菜,1
蛋,1
麵,1
米,1
飯,1
餃,1
湯,1
漢,1
堡,1
熱,1
狗,1
餅,1
乾,1
糕,1
治,1
淇,1
淋,1
餐,1
飲,1
料,1
茶,1
牛,1
汽,1
果,1
汁,1
橘,1
西,1
瓜,1
柳,1
橙,1
香,1
蕉,1
草,1
莓,1
番,1
茄,1
蕃,1
蘋,1
糖,1
甜,1
餓,1
吃,1
喝,1
給,1
同,1
課,1
遊,1
戲,1
圖,1
書,1
業,1
題,1
考,1
試,1
寫,1
讀,1
念,1
板,1
文,1
具,1
紙,1
筆,1
鉛,1
彩,1
尺,1
橡,1
擦,1
剪,1
貼,1
玩,1
追,1
跳,1
舞,1
踢,1
游,1
泳,1
運,1
動,1
球,1
足,1
棒,1
籃,1
棋,1
畫,1
影,1
音,1
鋼,1
琴,1
唱,1
彈,1
歌,1
養,1
送,1
禮,1
物,1
過,1
病,1
感,1
冒,1
針,1
藥,1
車,1
船,1
火,1
飛,1
公,1
共,1
踏,1
自,1
行,1
到,1
騎,1
風,1
