char,level
一,1
办,1
石,1
可,1
光,1
阳,1
脸,1
为,1
因,1
园,1
最,1
量,1
凉,1
跟,1
怕,1
谁,1
哪,1
呀,1
法,1
找,1
许,1
别,1
井,1
苗,1
军,1
竹,1
桥,1
海,1
沙,1
照,1
呢,1
点,1
像,1
象,1
再,1
叫,1
吓,1
都,1
那,1
到,1
做,1
借,1
姐,1
河,1
林,1
诗,1
网,1
房,1
空,1
前,1
蚁,1
蚂,1
童,1
队,1
才,1
专,1
工,1
同,1
净,1
明,1
起,1
赶,1
级,1
乡,1
黄,1
立,1
很,1
得,1
往,1
虫,1
吧,1
吗,1
让,1
时,1
闭,1
过,1
他,1
她,1
机,1
叶,1
我,1
美,1
朵,1
是,1
送,1
干,1
面,1
想,1
球,1
就,1
请,1
帮,1
雪,1
星,1
只,1
秋,1
湖,1
江,1
南,1
北,1
选,1
孩,1
位,1
没,1
要,1
玩,1
跳,1
桃,1
树,1
条,1
变,1
么,1
什,1
在,1
有,1
新,1
动,1
分,1
晚,1
发,1
名,1
急,1
座,1
坐,1
各,1
兰,1
刚,1
成,1
汽,1
共,1
伴,1
老,1
乐,1
快,1
地,1
吹,1
跑,1
虾,1
爱,1
师,1
男,1
贝,1
道,1
进,1
这,1
边,1
从,1
王,1
念,1
原,1
忘,1
短,1
冷,1
伙,1
间,1
问,1
常,1
非,1
学,1
苦,1
习,1
对,1
练,1
种,1
活,1
给,1
把,1
拉,1
情,1
热,1
淡,1
吃,1
先,1
带,1
意,1
心,1
又,1
卜,1
毛,1
尺,1
牙,1
巾,1
少,1
小,1
羊,1
牛,1
车,1
公,1
云,1
鸟,1
马,1
飞,1
风,1
力,1
手,1
水,1
皮,1
片,1
回,1
西,1
东,1
已,1
自,1
书,1
出,1
平,1
业,1
巴,1
半,1
方,1
走,1
足,1
升,1
广,1
本,1
山,1
长,1
也,1
七,1
六,1
文,1
火,1
人,1
天,1
大,1
入,1
儿,1
八,1
下,1
上,1
禾,1
木,1
十,1
三,1
二,1
总,1
个,1
生,1
九,1
口,1
电,1
田,1
白,1
见,1
米,1
头,1
耳,1
目,1
无,1
五,1
开,1
不,1
月,1
门,1
子,1
了,1
中,1
日,1
四,1
里,1
土,1
几,1
收,1
放,1
合,1
午,1
奶,1
妈,1
会,1
兴,1
女,1
笑,1
着,1
看,1
