char,level
陳,1
月,1
美,1
李,1
明,1
華,1
王,1
開,1
文,1
你,1
來,1
是,1
小,1
姐,1
嗎,1
接,1
我,1
們,1
這,1
先,1
生,1
好,1
姓,1
叫,1
臺,1
灣,1
台,1
歡,1
迎,1
請,1
問,1
的,1
謝,1
不,1
客,1
氣,1
喝,1
茶,1
很,1
什,1
麼,1
人,1
喜,1
呢,1
他,1
哪,1
要,1
咖,1
啡,1
烏,1
龍,1
日,1
本,1
國,1
對,1
起,1
張,1
怡,1
君,1
馬,1
安,1
同,1
家,1
漂,1
亮,1
房,1
子,1
坐,1
有,1
多,1
照,1
片,1
都,1
相,1
看,1
誰,1
妹,1
爸,1
媽,1
進,1
田,1
中,1
誠,1
一,1
伯,1
母,1
您,1
名,1
字,1
書,1
哥,1
老,1
師,1
幾,1
個,1
沒,1
兄,1
弟,1
五,1
兩,1
週,1
末,1
聽,1
音,1
樂,1
運,1
動,1
打,1
網,1
球,1
棒,1
和,1
游,1
泳,1
常,1
籃,1
也,1
踢,1
足,1
覺,1
得,1
玩,1
天,1
早,1
上,1
去,1
怎,1
樣,1
啊,1
做,1
白,1
如,1
玉,1
今,1
晚,1
電,1
影,1
妳,1
想,1
還,1
吧,1
可,1
以,1
學,1
吃,1
飯,1
菜,1
越,1
南,1
共,1
少,1
錢,1
闆,1
買,1
杯,1
熱,1
包,1
大,1
幫,1
微,1
波,1
百,1
塊,1
外,1
帶,1
內,1
用,1
支,1
新,1
手,1
機,1
太,1
舊,1
了,1
種,1
能,1
那,1
貴,1
賣,1
便,1
宜,1
萬,1
千,1
為,1
牛,1
肉,1
麵,1
真,1
說,1
最,1
湯,1
知,1
道,1
店,1
定,1
點,1
碗,1
籠,1
臭,1
豆,1
腐,1
昨,1
餐,1
廳,1
辣,1
怕,1
所,1
自,1
己,1
會,1
甜,1
錯,1
教,1
到,1
校,1
在,1
山,1
裡,1
遠,1
風,1
景,1
前,1
面,1
海,1
後,1
地,1
方,1
現,1
附,1
近,1
樓,1
下,1
找,1
朋,1
友,1
課,1
花,1
蓮,1
東,1
西,1
商,1
宿,1
舍,1
棟,1
圖,1
館,1
旁,1
邊,1
室,1
池,1
唱,1
歌,1
分,1
見,1
從,1
午,1
銀,1
行,1
時,1
候,1
次,1
題,1
空,1
再,1
剛,1
半,1
比,1
賽,1
結,1
束,1
忙,1
每,1
法,1
始,1
寫,1
等,1
事,1
意,1
思,1
火,1
車,1
跟,1
慢,1
鐘,1
頭,1
較,1
快,1
票,1
非,1
但,1
又,1
舒,1
服,1
站,1
或,1
高,1
鐵,1
路,1
利,1
參,1
觀,1
古,1
代,1
騎,1
載,1
捷,1
故,1
宮,1
博,1
物,1
院,1
公,1
汽,1
計,1
程,1
差,1
星,1
期,1
回,1
算,1
視,1
旅,1
功,1
出,1
概,1
放,1
假,1
久,1
女,1
號,1
她,1
建,1
議,1
夜,1
市,1
應,1
該,1
逛,1
特,1
別,1
決,1
就,1
貓,1
水,1
果,1
黃,1
色,1
芒,1
給,1
香,1
紅,1
瓜,1
拍,1
笑,1
心,1
穿,1
衣,1
男,1
矮,1
乾,1
淨,1
窗,1
戶,1
往,1
藍,1
因,1
住,1
些,1
租,1
廚,1
左,1
右,1
浴,1
超,1
走,1
間,1
套,1
話,1
林,1
喂,1
已,1
經,1
習,1
慣,1
器,1
像,1
裝,1
過,1
付,1
收,1
關,1
係,1
線,1
畫,1
年,1
念,1
需,1
獎,1
金,1
成,1
績,1
費,1
司,1
替,1
希,1
望,1
班,1
累,1
語,1
言,1
加,1
油,1
工,1
作,1
試,1
難,1
忘,1
記,1
當,1
然,1
交,1
換,1
牙,1
門,1
口,1
必,1
禮,1
訂,1
豬,1
腳,1
蛋,1
傳,1
統,1
輕,1
糕,1
祝,1
部,1
冷,1
滑,1
雪,1
春,1
父,1
冬,1
秋,1
葉,1
只,1
紐,1
約,1
十,1
二,1
底,1
雨,1
傘,1
颱,1
夏,1
濕,1
討,1
厭,1
聞,1
更,1
停,1
醫,1
直,1
流,1
鼻,1
痛,1
胃,1
喉,1
嚨,1
發,1
炎,1
病,1
燒,1
感,1
冒,1
藥,1
局,1
拿,1
把,1
休,1
息,1
睡,1
臉,1
肚,1
吐,1
陪,1
健,1
康,1
保,1
險,1
冰,1
迷,2
段,2
第,2
綠,2
燈,2
告,2
訴,2
提,2
款,2
郵,2
範,2
平,2
轉,2
著,2
品,2
巷,2
餓,2
離,2
背,2
正,2
枝,2
筆,2
麻,2
煩,2
趕,2
拜,2
腦,2
展,2
世,2
貿,2
覽,2
北,2
急,2
飛,2
場,2
巴,2
士,2
區,2
通,2
處,2
複,2
雜,2
鬆,2
島,2
搭,2
船,2
歐,2
洲,2
悠,2
遊,2
卡,2
步,2
考,2
準,2
備,2
容,2
易,2
漢,2
才,2
夠,2
雖,2
環,2
境,2
報,2
紙,2
演,2
講,2
噢,2
活,2
選,2
業,2
練,2
興,2
爬,2
認,2
識,2
聊,2
化,2
廣,2
位,2
解,2
陽,2
玲,2
主,2
任,2
介,2
紹,2
歲,2
驗,2
談,2
助,2
除,2
級,2
暑,2
薪,2
按,2
授,2
份,2
亞,2
英,2
三,2
律,2
履,2
歷,2
表,2
僑,2
辦,2
情,2
形,2
適,2
合,2
答,2
順,2
酒,2
恭,2
娘,2
婚,2
式,2
郎,2
帥,2
座,2
親,2
戚,2
鬧,2
慶,2
件,2
送,2
宴,2
敬,2
孩,2
另,2
糖,2
句,2
福,2
兒,2
搬,2
河,2
園,2
踏,2
資,2
料,2
光,2
重,2
惜,2
願,2
存,2
隨,2
身,2
碟,2
床,2
桌,2
椅,2
具,2
而,2
且,2
吵,2
低,2
留,2
長,2
論,2
社,2
團,2
失,2
首,2
爾,2
垃,2
圾,2
倒,2
丟,2
規,2
皮,2
跑,2
追,2
趣,2
壞,2
罐,2
忽,2
聲,2
奇,2
怪,2
袋,2
輛,2
護,2
類,2
瓶,2
塑,2
膠,2
源,2
桶,2
城,2
夫,2
推,2
體,2
育,2
極,2
拳,2
懂,2
腿,2
借,2
抱,2
怨,2
尺,2
總,2
完,2
力,2
整,2
精,2
神,2
響,2
顏,2
廟,2
堂,2
潛,2
各,2
魚,2
酸,2
檸,2
檬,2
味,2
泰,2
鄉,2
氛,2
鎮,2
寓,2
寬,2
築,2
層,2
擠,2
飲,2
黎,2
雄,2
貨,2
丁,2
餃,2
脫,2
鞋,2
捲,2
泡,2
洗,2
煮,2
破,2
餡,2
扁,2
材,2
飽,2
鍋,2
筷,2
韓,2
趁,2
嚐,2
鹽,2
拌,2
椒,2
調,2
玻,2
璃,2
壽,2
食,2
其,2
溫,2
泉,2
慮,2
湖,2
原,2
民,2
趟,2
注,2
沙,2
灘,2
被,2
偷,2
全,2
值,2
墾,2
潭,2
遍,2
摩,2
托,2
植,2
躺,2
昏,2
條,2
街,2
啤,2
浪,2
漫,2
曬,2
愛,2
素,2
速,2
欸,2
讓,2
堡,2
變,2
胖,2
膩,2
青,2
瘦,2
鹹,2
炸,2
烤,2
拉,2
麥,2
勞,2
宗,2
薯,2
簡,2
單,2
蒸,2
汙,2
染,2
嚴,2
衛,2
營,2
養,2
麗,2
掉,2
訊,2
罵,2
啦,2
查,2
充,2
糊,2
塗,2
喔,2
義,2
撿,2
消,2
透,2
界,2
節,2
省,2
檢,2
立,2
刻,2
招,2
呼,2
將,2
徵,2
求,2
畢,2
連,2
繼,2
續,2
使,2
實,2
待,2
研,2
究,2
聚,2
港,2
捨,2
企,2
管,2
理,2
系,2
濟,2
目,2
際,2
翻,2
