char,level
一,0
丁,0
七,0
丈,0
三,0
上,0
下,0
不,0
丐,0
丑,0
且,0
世,0
丘,0
丙,0
丟,0
両,0
並,0
丫,0
中,0
串,0
丸,0
丹,0
主,0
乃,0
久,0
之,0
乎,0
乏,0
乒,0
乓,0
乖,0
乘,0
乙,0
九,0
乞,0
也,0
乳,0
乾,0
亂,0
了,0
予,0
事,0
二,0
云,0
互,0
五,0
井,0
些,0
亞,0
亡,0
交,0
亦,0
亨,0
享,0
京,0
亭,0
亮,0
人,0
什,0
仁,0
仇,0
今,0
介,0
仍,0
仔,0
他,0
仗,0
付,0
仙,0
代,0
令,0
以,0
仰,0
件,0
任,0
份,0
仿,0
企,0
伊,0
伍,0
伏,0
伐,0
休,0
伙,0
伯,0
估,0
伴,0
伶,0
伸,0
似,0
但,0
佈,0
位,0
低,0
住,0
佑,0
佔,0
何,0
佛,0
作,0
你,0
佣,0
佩,0
佬,0
佳,0
併,0
使,0
來,0
侈,0
例,0
侍,0
供,0
依,0
侮,0
侯,0
侵,0
侶,0
便,0
係,0
促,0
俊,0
俐,0
俗,0
俘,0
保,0
俠,0
信,0
修,0
俯,0
俱,0
俾,0
倆,0
倉,0
個,0
倍,0
們,0
倒,0
倔,0
倖,0
倘,0
候,0
倚,0
借,0
倡,0
倦,0
倫,0
值,0
假,0
偉,0
偏,0
偕,0
做,0
停,0
健,0
側,0
偵,0
偶,0
偷,0
偽,0
傅,0
傍,0
傑,0
傘,0
備,0
傢,0
催,0
傭,0
傲,0
傳,0
債,0
傷,0
傻,0
傾,0
僅,0
像,0
僑,0
僕,0
僥,0
僧,0
僱,0
僵,0
價,0
僻,0
儀,0
億,0
儉,0
儒,0
儘,0
償,0
優,0
儲,0
允,0
元,0
兄,0
充,0
兆,0
兇,0
先,0
光,0
克,0
免,0
兑,0
兒,0
兔,0
兜,0
入,0
內,0
全,0
兩,0
八,0
公,0
六,0
共,0
兵,0
其,0
具,0
典,0
兼,0
冊,0
再,0
冒,0
冕,0
冠,0
冤,0
冬,0
冰,0
冶,0
冷,0
准,0
凋,0
凌,0
凍,0
凝,0
凡,0
凰,0
凱,0
凳,0
凶,0
凸,0
凹,0
出,0
函,0
刀,0
分,0
切,0
刊,0
刑,0
划,0
列,0
初,0
判,0
別,0
刨,0
利,0
刪,0
刮,0
到,0
制,0
刷,0
券,0
刺,0
刻,0
剃,0
則,0
削,0
前,0
剎,0
剔,0
剖,0
剛,0
剝,0
剩,0
剪,0
副,0
割,0
創,0
劃,0
劇,0
劈,0
劍,0
劑,0
力,0
功,0
加,0
劣,0
助,0
努,0
劫,0
効,0
勁,0
勃,0
勇,0
勉,0
勒,0
動,0
務,0
勛,0
勝,0
勞,0
募,0
勢,0
勤,0
勵,0
勸,0
勻,0
勾,0
勿,0
包,0
匆,0
化,0
北,0
匙,0
匠,0
匪,0
匯,0
匹,0
匾,0
區,0
十,0
千,0
升,0
午,0
卉,0
半,0
卑,0
卒,0
卓,0
協,0
南,0
博,0
卜,0
占,0
卡,0
卦,0
卧,0
印,0
危,0
即,0
卵,0
卷,0
卸,0
卻,0
厄,0
厘,0
厚,0
原,0
厭,0
厲,0
去,0
叁,0
參,0
又,0
叉,0
及,0
友,0
反,0
叔,0
取,0
受,0
叛,0
叢,0
口,0
古,0
句,0
另,0
只,0
叫,0
召,0
叭,0
叮,0
可,0
台,0
史,0
右,0
司,0
叼,0
吃,0
各,0
合,0
吉,0
吊,0
吋,0
同,0
名,0
后,0
吐,0
向,0
君,0
吝,0
吞,0
吟,0
吠,0
否,0
吧,0
吩,0
含,0
吱,0
吵,0
吶,0
吸,0
吹,0
吻,0
吼,0
呀,0
呆,0
呈,0
告,0
呎,0
呢,0
周,0
味,0
呵,0
呻,0
呼,0
命,0
咀,0
和,0
咐,0
咒,0
咖,0
咚,0
咦,0
咪,0
咬,0
咱,0
咳,0
咽,0
哀,0
品,0
哄,0
哇,0
哈,0
哎,0
員,0
哥,0
哦,0
哨,0
哩,0
哪,0
哭,0
哼,0
唉,0
唐,0
唔,0
售,0
唯,0
唱,0
唸,0
唾,0
啃,0
啄,0
商,0
啊,0
問,0
啞,0
啟,0
啡,0
啣,0
啤,0
啥,0
啦,0
啪,0
啼,0
喂,0
喃,0
善,0
喇,0
喉,0
喊,0
喔,0
喘,0
喚,0
喜,0
喝,0
喧,0
喪,0
單,0
喱,0
喲,0
喳,0
喻,0
嗅,0
嗇,0
嗎,0
嗓,0
嗚,0
嗜,0
嗡,0
嗯,0
嗽,0
嘈,0
嘉,0
嘔,0
嘗,0
嘛,0
嘩,0
嘯,0
嘲,0
嘴,0
嘹,0
嘻,0
嘿,0
噢,0
器,0
噪,0
噴,0
噸,0
嚇,0
嚏,0
嚐,0
嚨,0
嚮,0
嚴,0
嚷,0
嚼,0
囂,0
囊,0
囑,0
囚,0
四,0
回,0
因,0
困,0
囱,0
固,0
圃,0
圈,0
國,0
圍,0
園,0
圓,0
圖,0
團,0
土,0
在,0
地,0
圾,0
址,0
均,0
坊,0
坐,0
坑,0
坡,0
坦,0
坪,0
垂,0
垃,0
型,0
垢,0
垮,0
埃,0
埋,0
城,0
域,0
埠,0
執,0
培,0
基,0
堂,0
堅,0
堆,0
堡,0
堤,0
堪,0
報,0
場,0
堵,0
塊,0
塌,0
塑,0
塔,0
塗,0
塘,0
塞,0
填,0
塵,0
境,0
墅,0
墊,0
墓,0
墜,0
增,0
墟,0
墨,0
墮,0
墳,0
墾,0
壁,0
壓,0
壘,0
壞,0
壤,0
士,0
壯,0
壹,0
壺,0
壽,0
夏,0
夕,0
外,0
多,0
夜,0
夠,0
夢,0
夥,0
大,0
天,0
太,0
夫,0
夭,0
央,0
失,0
夾,0
奇,0
奈,0
奉,0
奏,0
契,0
奔,0
套,0
奢,0
奧,0
奪,0
奮,0
女,0
奴,0
奶,0
奸,0
她,0
好,0
如,0
妃,0
妒,0
妖,0
妙,0
妥,0
妨,0
妹,0
妻,0
姆,0
姊,0
始,0
姐,0
姑,0
姓,0
委,0
姥,0
姨,0
姪,0
姻,0
姿,0
威,0
娃,0
娘,0
娛,0
娶,0
婆,0
婉,0
婚,0
婦,0
婿,0
媒,0
媚,0
媳,0
媽,0
嫁,0
嫂,0
嫉,0
嫌,0
嫩,0
嬉,0
嬌,0
嬰,0
嬸,0
子,0
孔,0
孕,0
字,0
存,0
孝,0
季,0
孤,0
孩,0
孫,0
孵,0
學,0
它,0
宅,0
宇,0
守,0
安,0
完,0
宏,0
宗,0
官,0
宙,0
定,0
宜,0
客,0
宣,0
室,0
宮,0
宰,0
害,0
宴,0
宵,0
家,0
容,0
宿,0
寂,0
寄,0
密,0
富,0
寒,0
寓,0
寞,0
察,0
寡,0
實,0
寧,0
審,0
寫,0
寬,0
寵,0
寶,0
寸,0
寺,0
封,0
射,0
將,0
專,0
尊,0
尋,0
對,0
導,0
小,0
少,0
尖,0
尚,0
尤,0
就,0
尺,0
尼,0
尾,0
尿,0
局,0
屁,0
居,0
屆,0
屈,0
屋,0
屍,0
屎,0
屏,0
屑,0
展,0
屜,0
屠,0
屢,0
層,0
履,0
屬,0
山,0
屹,0
岡,0
岳,0
岸,0
峭,0
峯,0
島,0
峻,0
峽,0
崇,0
崎,0
崖,0
崗,0
崛,0
崩,0
嶄,0
嶇,0
嶺,0
嶼,0
嶽,0
巒,0
巖,0
川,0
州,0
巡,0
巢,0
工,0
左,0
巧,0
巨,0
巫,0
差,0
己,0
已,0
巴,0
巷,0
巾,0
市,0
布,0
帆,0
希,0
帕,0
帖,0
帚,0
帝,0
帥,0
師,0
席,0
帳,0
帶,0
常,0
帽,0
幅,0
幕,0
幟,0
幢,0
幣,0
幫,0
干,0
平,0
年,0
幸,0
幹,0
幻,0
幼,0
幽,0
幾,0
庇,0
序,0
底,0
店,0
府,0
度,0
座,0
庫,0
庭,0
康,0
庸,0
廁,0
廂,0
廈,0
廉,0
廊,0
廚,0
廟,0
廠,0
廢,0
廣,0
廳,0
延,0
廷,0
建,0
弄,0
弊,0
式,0
弓,0
弔,0
引,0
弘,0
弛,0
弟,0
弦,0
弧,0
弱,0
張,0
強,0
彈,0
彌,0
彎,0
彗,0
形,0
彩,0
彰,0
影,0
彷,0
役,0
彼,0
彿,0
往,0
征,0
待,0
很,0
徊,0
律,0
後,0
徐,0
徑,0
徒,0
得,0
徘,0
徙,0
從,0
御,0
復,0
循,0
微,0
徵,0
德,0
徹,0
徽,0
心,0
必,0
忌,0
忍,0
志,0
忘,0
忙,0
忠,0
快,0
忱,0
念,0
忽,0
忿,0
怎,0
怒,0
怕,0
怖,0
思,0
怠,0
怡,0
急,0
性,0
怨,0
怪,0
怯,0
恆,0
恍,0
恐,0
恕,0
恢,0
恤,0
恥,0
恨,0
恩,0
恭,0
息,0
恰,0
悄,0
悉,0
悔,0
悟,0
悠,0
患,0
悦,0
您,0
悲,0
悴,0
悶,0
悼,0
悽,0
情,0
惋,0
惑,0
惕,0
惚,0
惜,0
惟,0
惠,0
惡,0
惦,0
惰,0
惱,0
想,0
惶,0
惹,0
愁,0
愈,0
愉,0
意,0
愚,0
愛,0
感,0
愣,0
愧,0
慈,0
態,0
慌,0
慎,0
慕,0
慘,0
慚,0
慢,0
慣,0
慧,0
慨,0
慮,0
慰,0
慳,0
慶,0
慷,0
慾,0
憂,0
憎,0
憐,0
憑,0
憔,0
憤,0
憧,0
憩,0
憬,0
憲,0
憶,0
憾,0
懂,0
懇,0
懈,0
應,0
懊,0
懦,0
懲,0
懶,0
懷,0
懸,0
懼,0
戀,0
戈,0
成,0
我,0
戒,0
或,0
戚,0
截,0
戰,0
戲,0
戴,0
户,0
房,0
所,0
扁,0
扇,0
手,0
才,0
扎,0
扒,0
打,0
扔,0
托,0
扛,0
扣,0
扭,0
扮,0
扯,0
扶,0
批,0
找,0
承,0
技,0
抄,0
把,0
抑,0
抒,0
抓,0
投,0
抖,0
抗,0
折,0
披,0
抬,0
抱,0
抵,0
抹,0
押,0
抽,0
拆,0
拇,0
拉,0
拋,0
拌,0
拍,0
拎,0
拐,0
拒,0
拓,0
拔,0
拖,0
拘,0
拚,0
招,0
拜,0
括,0
拯,0
拱,0
拳,0
拼,0
拾,0
拿,0
持,0
指,0
按,0
挑,0
挖,0
挨,0
挪,0
挫,0
振,0
挺,0
挽,0
挾,0
捆,0
捉,0
捌,0
捍,0
捏,0
捐,0
捕,0
捧,0
捨,0
捩,0
捱,0
捲,0
捷,0
掀,0
掃,0
授,0
掉,0
