char,level
爱,1
八,1
爸,1
吧,1
白,1
百,1
半,1
帮,1
包,1
北,1
备,1
本,1
比,1
边,1
别,1
病,1
不,1
菜,1
茶,1
差,1
常,1
场,1
唱,1
车,1
吃,1
出,1
穿,1
次,1
从,1
错,1
答,1
打,1
大,1
蛋,1
到,1
道,1
得,1
地,1
的,1
等,1
第,1
点,1
电,1
店,1
东,1
动,1
都,1
对,1
多,1
饿,1
儿,1
二,1
饭,1
方,1
房,1
放,1
飞,1
非,1
分,1
服,1
干,1
高,1
告,1
哥,1
歌,1
个,1
给,1
跟,1
工,1
关,1
贵,1
国,1
果,1
过,1
还,1
孩,1
汉,1
好,1
号,1
喝,1
和,1
很,1
后,1
候,1
花,1
话,1
坏,1
欢,1
回,1
会,1
火,1
机,1
鸡,1
几,1
记,1
家,1
假,1
间,1
见,1
教,1
叫,1
觉,1
姐,1
介,1
今,1
进,1
净,1
九,1
就,1
开,1
看,1
考,1
渴,1
课,1
口,1
块,1
快,1
来,1
老,1
了,1
累,1
冷,1
里,1
两,1
零,1
六,1
楼,1
路,1
妈,1
马,1
吗,1
买,1
忙,1
么,1
没,1
门,1
们,1
面,1
名,1
明,1
拿,1
哪,1
那,1
奶,1
男,1
南,1
难,1
呢,1
能,1
你,1
年,1
您,1
牛,1
女,1
旁,1
跑,1
朋,1
票,1
七,1
期,1
起,1
气,1
汽,1
前,1
钱,1
请,1
球,1
去,1
热,1
人,1
认,1
日,1
肉,1
三,1
山,1
上,1
少,1
绍,1
身,1
什,1
生,1
师,1
十,1
时,1
识,1
事,1
试,1
视,1
是,1
手,1
书,1
树,1
谁,1
水,1
睡,1
说,1
四,1
送,1
诉,1
岁,1
他,1
她,1
太,1
体,1
天,1
听,1
同,1
外,1
玩,1
晚,1
网,1
忘,1
文,1
问,1
我,1
五,1
午,1
西,1
息,1
习,1
洗,1
喜,1
系,1
下,1
先,1
现,1
想,1
小,1
笑,1
些,1
写,1
谢,1
新,1
星,1
行,1
兴,1
休,1
学,1
样,1
要,1
也,1
一,1
衣,1
医,1
用,1
友,1
有,1
雨,1
语,1
远,1
院,1
月,1
再,1
在,1
早,1
怎,1
站,1
找,1
这,1
着,1
真,1
正,1
知,1
中,1
住,1
准,1
子,1
字,1
走,1
昨,1
作,1
坐,1
做,1
才,1
长,1
但,1
当,1
而,1
该,1
更,1
黑,1
借,1
酒,1
可,1
怕,1
然,1
让,1
所,1
完,1
为,1
向,1
以,1
意,1
因,1
应,1
又,1
助,1
把,1
每,1
木,1
班,2
杯,2
床,2
弟,2
读,2
风,2
馆,2
京,2
客,2
慢,2
毛,2
妹,2
米,2
脑,2
商,2
条,2
图,2
校,2
爷,2
页,2
影,2
右,2
元,2
重,2
桌,2
最,2
左,2
啊,2
安,2
般,2
板,2
办,2
饱,2
报,2
背,2
笔,2
必,2
变,2
便,2
遍,2
表,2
部,2
参,2
餐,2
草,2
层,2
查,2
超,2
晨,2
称,2
成,2
楚,2
处,2
吹,2
春,2
词,2
带,2
单,2
倒,2
灯,2
低,2
典,2
掉,2
定,2
冬,2
懂,2
度,2
短,2
段,2
队,2
发,2
法,2
份,2
复,2
改,2
感,2
刚,2
公,2
共,2
狗,2
够,2
故,2
顾,2
观,2
惯,2
广,2
海,2
喊,2
合,2
河,2
红,2
忽,2
湖,2
护,2
划,2
画,2
换,2
黄,2
活,2
或,2
级,2
急,2
己,2
计,2
际,2
绩,2
加,2
检,2
件,2
健,2
讲,2
交,2
角,2
饺,2
脚,2
接,2
街,2
节,2
结,2
斤,2
近,2
经,2
睛,2
静,2
久,2
举,2
句,2
卡,2
康,2
靠,2
科,2
克,2
刻,2
空,2
哭,2
筷,2
拉,2
蓝,2
篮,2
乐,2
离,2
礼,2
理,2
力,2
利,2
例,2
脸,2
练,2
凉,2
亮,2
辆,2
量,2
留,2
流,2
旅,2
绿,2
论,2
卖,2
满,2
猫,2
目,2
鸟,2
弄,2
努,2
爬,2
排,2
碰,2
篇,2
片,2
漂,2
平,2
瓶,2
普,2
其,2
骑,2
千,2
且,2
青,2
轻,2
清,2
情,2
秋,2
求,2
取,2
全,2
确,2
如,2
入,2
色,2
声,2
省,2
实,2
食,2
使,2
示,2
市,2
适,2
室,2
收,2
受,2
舒,2
熟,2
数,2
顺,2
司,2
思,2
算,2
虽,2
随,2
它,2
态,2
堂,2
讨,2
套,2
特,2
疼,2
提,2
题,2
庭,2
停,2
挺,2
通,2
头,2
推,2
腿,2
碗,2
万,2
王,2
往,2
位,2
味,2
温,2
闻,2
务,2
物,2
夏,2
相,2
响,2
像,2
鞋,2
心,2
信,2
姓,2
须,2
许,2
选,2
雪,2
言,2
颜,2
眼,2
阳,2
养,2
药,2
业,2
夜,2
宜,2
已,2
椅,2
亿,2
音,2
银,2
印,2
永,2
由,2
油,2
于,2
鱼,2
育,2
原,2
愿,2
越,2
云,2
运,2
咱,2
脏,2
澡,2
占,2
照,2
者,2
直,2
只,2
纸,2
周,2
主,2
装,2
自,2
租,2
组,2
座,2
被,2
标,2
步,2
产,2
厂,2
城,2
除,2
村,2
达,2
刀,2
调,2
断,2
烦,2
反,2
否,2
夫,2
父,2
敢,2
各,2
古,2
挂,2
管,2
哈,2
华,2
化,2
及,2
况,2
困,2
李,2
连,2
另,2
龙,2
麻,2
美,2
民,2
念,2
牌,2
胖,2
苹,2
区,2
社,2
深,2
输,2
谈,2
汤,2
痛,2
土,2
望,2
误,2
香,2
象,2
血,2
需,2
压,2
验,2
羊,2
约,2
张,2
支,2
止,2
志,2
种,2
猪,2
抓,2
转,2
总,2
足,2
巴,2
宝,2
抱,2
贝,2
冰,2
兵,2
虫,2
耳,2
妇,2
瓜,2
寄,2
江,2
究,2
俩,2
盘,2
妻,2
伞,2
烧,2
未,2
无,2
兄,2
牙,2
研,2
与,2
玉,2
之,2
呆,2
旦,2
丢,2
搞,2
虎,2
甲,2
劳,2
令,2
欠,2
扔,2
乙,2
饮,2
串,2
尖,2
灭,2
勺,2
舌,2
田,2
船,3
封,3
末,3
墙,3
晴,3
铁,3
阴,3
英,3
迎,3
游,3
园,3
钟,3
按,3
保,3
币,3
并,3
播,3
补,3
布,3
材,3
采,3
彩,3
曾,3
察,3
朝,3
吵,3
衬,3
程,3
持,3
充,3
初,3
础,3
传,3
创,3
此,3
存,3
代,3
待,3
导,3
底,3
订,3
顿,3
范,3
防,3
访,3
费,3
丰,3
福,3
付,3
负,3
富,3
概,3
赶,3
格,3
根,3
功,3
姑,3
怪,3
光,3
规,3
害,3
何,3
互,3
环,3
婚,3
积,3
基,3
极,3
集,3
纪,3
技,3
济,3
继,3
价,3
架,3
坚,3
简,3
建,3
将,3
较,3
解,3
界,3
金,3
仅,3
尽,3
紧,3
精,3
景,3
警,3
境,3
旧,3
救,3
具,3
剧,3
据,3
决,3
绝,3
恐,3
苦,3
浪,3
类,3
历,3
立,3
丽,3
联,3
烈,3
领,3
录,3
乱,3
落,3
冒,3
媒,3
迷,3
命,3
某,3
母,3
内,3
娘,3
农,3
暖,3
拍,3
派,3
判,3
配,3
批,3
皮,3
品,3
评,3
破,3
齐,3
奇,3
器,3
强,3
桥,3
巧,3
切,3
亲,3
庆,3
缺,3
群,3
任,3
仍,3
容,3
赛,3
散,3
沙,3
善,3
伤,3
设,3
神,3
升,3
胜,3
失,3
石,3
始,3
世,3
式,3
似,3
势,3
首,3
属,3
术,3
束,3
双,3
死,3
速,3
台,3
糖,3
甜,3
跳,3
突,3
团,3
退,3
危,3
围,3
伟,3
卫,3
握,3
屋,3
武,3
舞,3
希,3
戏,3
显,3
险,3
线,3
乡,3
消,3
效,3
形,3
幸,3
性,3
修,3
续,3
宣,3
训,3
烟,3
演,3
义,3
艺,3
议,3
易,3
营,3
泳,3
优,3
邮,3
预,3
员,3
杂,3
造,3
责,3
增,3
展,3
章,3
争,3
整,3
证,3
汁,3
值,3
职,3
指,3
至,3
制,3
终,3
众,3
注,3
祝,3
专,3
状,3
追,3
资,3
族,3
矮,3
暗,3
摆,3
败,3
伴,3
倍,3
笨,3
毕,3
闭,3
编,3
财,3
测,3
抄,3
沉,3
诚,3
承,3
迟,3
尺,3
冲,3
抽,3
窗,3
粗,3
寸,3
袋,3
担,3
淡,3
敌,3
递,3
顶,3
斗,3
豆,3
独,3
堵,3
肚,3
锻,3
恶,3
翻,3
肥,3
奋,3
符,3
府,3
腐,3
附,3
盖,3
构,3
购,3
骨,3
官,3
归,3
含,3
寒,3
航,3
厚,3
呼,3
户,3
怀,3
挥,3
伙,3
货,3
获,3
即,3
季,3
既,3
减,3
奖,3
巾,3
禁,3
惊,3
竟,3
镜,3
居,3
局,3
巨,3
距,3
均,3
棵,3
宽,3
括,3
辣,3
雷,3
泪,3
炼,3
良,3
疗,3
料,3
林,3
陆,3
虑,3
码,3
梦,3
秘,3
密,3
免,3
描,3
摸,3
模,3
闹,3
宁,3
趣,3
圈,3
权,3
扫,3
森,3
晒,3
闪,3
赏,3
尚,3
申,3
诗,3
史,3
士,3
释,3
守,3
授,3
售,3
叔,3
暑,3
帅,3
孙,3
躺,3
填,3
挑,3
童,3
谓,3
吸,3
席,3
鲜,3
县,3
项,3
醒,3
秀,3
寻,3
亚,3
严,3
盐,3
腰,3
叶,3
依,3
移,3
遗,3
译,3
益,3
引,3
映,3
勇,3
余,3
圆,3
源,3
阅,3
载,3
赞,3
丈,3
招,3
召,3
折,3
政,3
址,3
治,3
致,3
智,3
著,3
综,3
版,3
扮,3
棒,3
悲,3
鼻,3
宾,3
饼,3
博,3
猜,3
册,3
叉,3
尝,3
愁,3
丑,3
臭,3
闯,3
聪,3
胆,3
挡,3
德,3
冻,3
堆,3
吨,3
朵,3
疯,3
肤,3
辅,3
纲,3
钢,3
估,3
鬼,3
柜,3
滚,3
汗,3
盒,3
贺,3
恨,3
胡,3
挤,3
夹,3
艰,3
敬,3
军,3
款,3
亏,3
骂,3
贸,3
偶,3
陪,3
盆,3
匹,3
骗,3
拼,3
弃,3
瞧,3
曲,3
劝,3
扰,3
忍,3
杀,3
傻,3
舍,3
寿,3
瘦,3
私,3
宿,3
托,3
胃,3
夕,3
析,3
悉,3
惜,3
吓,3
闲,3
辛,3
雄,3
央,3
咬,3
谊,3
尤,3
灾,3
暂,3
掌,3
织,3
竹,3
醉,3
昌,3
岛,3
凡,3
佛,3
贡,3
谷,3
皇,3
吉,3
麦,3
盼,3
圣,3
爽,3
寺,3
素,3
亡,3
凶,3
炎,3
愉,3
晕,3
庄,3
