char,kyujitai,level
亜,亞,7
哀,,7
挨,,7
愛,,4
曖,,7
悪,惡,3
握,,7
圧,壓,5
扱,,7
宛,,7
嵐,,7
安,,3
案,,4
暗,,3
以,,4
衣,,4
位,,4
囲,圍,5
医,醫,3
依,,7
委,,3
威,,7
為,爲,7
畏,,7
胃,,6
尉,,7
異,,6
移,,5
萎,,7
偉,,7
椅,,7
彙,,7
意,,3
違,,7
維,,7
慰,,7
遺,,6
緯,,7
域,,6
育,,3
一,,1
壱,壹,7
逸,逸,7
茨,,4
芋,,7
引,,2
印,,4
因,,5
咽,,7
姻,,7
員,,3
院,,3
淫,,7
陰,,7
飲,,3
隠,隱,7
韻,,7
右,,1
宇,,6
羽,,2
雨,,1
唄,,7
鬱,,7
畝,,7
浦,,7
運,,3
雲,,2
永,,5
泳,,3
英,,4
映,,6
栄,榮,4
営,營,5
詠,,7
影,,7
鋭,,7
衛,衞,5
易,,5
疫,,7
益,,5
液,,5
駅,驛,3
悦,,7
越,,7
謁,謁,7
閲,,7
円,圓,1
延,,6
沿,,6
炎,,7
怨,,7
宴,,7
媛,,4
援,,7
園,,2
煙,,7
猿,,7
遠,,2
鉛,,7
塩,鹽,4
演,,5
縁,緣,7
艶,艷,7
汚,,7
王,,1
凹,,7
央,,3
応,應,5
往,,5
押,,7
旺,,7
欧,歐,7
殴,毆,7
桜,櫻,5
翁,,7
奥,奧,7
横,橫,3
岡,,4
屋,,3
億,,4
憶,,7
臆,,7
虞,,7
乙,,7
俺,,7
卸,,7
音,,1
恩,,6
温,溫,3
穏,穩,7
下,,1
化,,3
火,,1
加,,4
可,,5
仮,假,5
何,,2
花,,1
佳,,7
価,價,5
果,,4
河,,5
苛,,7
科,,2
架,,7
夏,,2
家,,2
荷,,3
華,,7
菓,,7
貨,,4
渦,,7
過,,5
嫁,,7
暇,,7
禍,禍,7
靴,,7
寡,,7
歌,,2
箇,,7
稼,,7
課,,4
蚊,,7
牙,,7
瓦,,7
我,,6
画,畫,2
芽,,4
賀,,4
雅,,7
餓,,7
介,,7
回,,2
灰,,6
会,會,2
快,,5
戒,,7
改,,4
怪,,7
拐,,7
悔,悔,7
海,海,2
界,,3
皆,,7
械,,4
絵,繪,2
開,,3
階,,3
塊,,7
楷,,7
解,,5
潰,,7
壊,壞,7
懐,懷,7
諧,,7
貝,,1
外,,2
劾,,7
害,,4
崖,,7
涯,,7
街,,4
慨,慨,7
蓋,,7
該,,7
概,槪,7
骸,,7
垣,,7
柿,,7
各,,4
角,,2
拡,擴,6
革,,6
格,,5
核,,7
殻,殼,7
郭,,7
覚,覺,4
較,,7
隔,,7
閣,,6
確,,5
獲,,7
嚇,,7
穫,,7
学,學,1
岳,嶽,7
楽,樂,2
額,,5
顎,,7
掛,,7
潟,,4
括,,7
活,,2
喝,喝,7
渇,渴,7
割,,6
葛,,7
滑,,7
褐,褐,7
轄,,7
且,,7
株,,6
釜,,7
鎌,,7
刈,,7
干,,6
刊,,5
甘,,7
汗,,7
缶,罐,7
完,,4
肝,,7
官,,4
冠,,7
巻,卷,6
看,,6
陥,陷,7
乾,,7
勘,,7
患,,7
貫,,7
寒,,3
喚,,7
堪,,7
換,,7
敢,,7
棺,,7
款,,7
間,,2
閑,,7
