char,level
老,1
師,1
學,1
生,1
你,1
我,1
他,1
是,1
們,1
人,1
先,1
小,1
姐,1
太,1
新,1
同,1
她,1
誰,1
叫,1
姓,1
很,1
可,1
愛,1
哪,1
國,1
妳,1
知,1
道,1
嗎,1
日,1
本,1
臺,1
灣,1
台,1
中,1
美,1
英,1
漂,1
亮,1
什,1
麼,1
名,1
字,1
呢,1
印,1
尼,1
喜,1
歡,1
好,1
請,1
問,1
大,1
家,1
朋,1
友,1
吃,1
水,1
果,1
喝,1
茶,1
謝,1
不,1
客,1
氣,1
珍,1
珠,1
奶,1
自,1
介,1
紹,1
早,1
安,1
午,1
晚,1
幾,1
點,1
鐘,1
現,1
在,1
去,1
校,1
媽,1
爸,1
孩,1
子,1
今,1
天,1
星,1
期,1
月,1
號,1
上,1
有,1
沒,1
課,1
圖,1
書,1
館,1
回,1
下,1
分,1
明,1
昨,1
週,1
末,1
要,1
來,1
啊,1
的,1
快,1
樂,1
題,1
見,1
再,1
做,1
歲,1
起,1
床,1
飯,1
睡,1
覺,1
忙,1
累,1
買,1
禮,1
物,1
想,1
送,1
個,1
看,1
兩,1
文,1
一,1
些,1
花,1
朵,1
和,1
蛋,1
糕,1
這,1
那,1
種,1
鉛,1
筆,1
怎,1
樣,1
東,1
西,1
枝,1
塊,1
錢,1
元,1
便,1
宜,1
貴,1
顏,1
色,1
紅,1
白,1
都,1
常,1
穿,1
衣,1
服,1
件,1
玩,1
心,1
甜,1
開,1
咖,1
啡,1
還,1
熱,1
冷,1
飲,1
料,1
也,1
餓,1
渴,1
兒,1
餐,1
廳,1
多,1
少,1
麵,1
了,1
最,1
賣,1
牛,1
肉,1
碗,1
杯,1
瓶,1
女,1
男,1
位,1
綠,1
給,1
共,1
百,1
千,1
萬,1
零,1
找,1
您,1
夏,1
春,1
秋,1
冬,1
店,1
商,1
汁,1
每,1
包,1
裡,1
聽,1
音,1
錯,1
冰,1
淇,1
淋,1
巧,1
克,1
力,1
半,1
吧,1
空,1
跟,1
房,1
間,1
棟,1
面,1
外,1
桌,1
椅,1
張,1
哥,1
姊,1
弟,1
妹,1
沙,1
發,1
旁,1
邊,1
前,1
後,1
幫,1
廚,1
具,1
電,1
視,1
機,1
窗,1
戶,1
門,1
貓,1
狗,1
鳥,1
隻,1
曬,1
陽,1
晒,1
打,1
網,1
球,1
籃,1
棒,1
足,1
踢,1
海,1
山,1
風,1
景,1
游,1
泳,1
會,1
得,1
跑,1
步,1
慢,1
說,1
話,1
影,1
部,1
院,1
趣,1
休,1
息,1
腦,1
手,1
支,1
應,1
該,1
運,1
動,1
以,1
騎,1
腳,1
踏,1
車,1
行,1
輛,1
只,1
興,1
習,1
唱,1
歌,1
首,1
跳,1
舞,1
畫,1
平,1
時,1
候,1
比,1
賽,1
真,1
高,1
到,1
旅,1
韓,1
等,1
坐,1
捷,1
地,1
鐵,1
公,1
汽,1
計,1
程,1
火,1
遠,1
近,1
從,1
走,1
路,1
錶,1
馬,1
條,1
街,1
方,1
附,1
郵,1
局,1
寄,1
信,1
封,1
超,1
級,1
市,1
場,1
定,1
又,1
舒,1
線,1
藍,1
飛,1
司,1
站,1
架,1
裙,1
年,1
牌,1
因,1
為,1
褲,1
所,1
貨,1
難,1
容,1
易,1
胖,1
瘦,1
矮,1
斤,1
怕,1
黃,1
流,1
短,1
長,1
鞋,1
襪,1
雙,1
黑,1
樓,1
關,1
梯,1
係,1
對,1
輕,1
皮,1
雜,1
誌,1
舊,1
句,1
意,1
思,1
懂,1
教,1
非,1
聰,1
法,1
毛,1
宿,1
舍,1
功,1
作,1
業,1
室,1
能,1
用,1
班,1
拜,1
語,1
言,1
別,1
較,1
許,1
希,1
望,1
考,1
交,1
換,1
始,1
華,1
寫,1
練,1
讀,1
進,1
緊,1
試,1
感,1
冒,1
假,1
燒,1
醫,1
戴,1
口,1
罩,1
洗,1
指,1
健,1
康,1
病,1
注,1
身,1
體,1
帶,1
蘋,1
香,1
蕉,1
咳,1
嗽,1
頭,1
髮,1
痛,1
鼻,1
嘴,1
巴,1
臉,1
耳,1
眼,1
睛,1
鏡,1
肚,1
乾,1
淨,1
需,1
藥,1
記,1
如,1
就,1
接,1
碼,1
擔,1
告,1
訴,1
忘,1
認,1
識,1
已,1
經,1
卡,1
片,1
章,1
然,1
留,1
答,1
聊,1
差,1
決,1
驗,1
奇,1
怪,1
辦,1
算,1
約,1
但,1
菜,1
單,1
特,1
盤,1
照,1
相,1
情,1
出,1
工,1
參,1
加,1
當,1
護,1
理,1
士,1
者,1
銀,1
畢,1
闆,1
板,1
事,1
準,1
辛,1
苦,1
而,1
且,1
成,1
績,1
過,1
夠,1
遲,1
備,1
節,1
目,1
父,1
母,1
親,1
談,1
己,1
結,1
婚,1
重,1
廠,1
喂,1
剛,1
博,1
址,1
觀,1
往,1
右,1
左,1
轉,1
排,1
隊,1
票,1
靜,1
聲,1
歷,1
史,1
故,1
數,1
科,1
展,1
向,1
第,1
十,1
壞,1
世,1
界,1
活,1
跨,1
住,1
次,1
城,1
演,1
表,1
鬧,1
久,1
北,1
迎,1
園,1
樹,1
棵,1
環,1
境,1
酒,1
餃,1
魚,1
湯,1
拿,1
堂,1
慶,1
祝,1
通,1
警,1
察,1
受,1
傷,1
肖,1
才,1
原,1
代,1
越,1
南,1
屬,1
簡,1
查,1
羊,1
兔,1
龍,1
著,1
燈,1
籠,1
講,1
宵,1
虎,1
放,1
紙,1
河,1
湖,1
贏,1
輸,1
其,1
鼠,1
蛇,1
猴,1
雞,1
豬,1
離,1
報,1
份,1
雪,1
雨,1
夜,1
魯,1
閣,1
蓮,1
合,1
潭,1
搭,1
更,1
浴,1
廁,1
澡,1
付,1
笑,1
雄,1
陸,1
菲,1
律,1
賓,1
荷,1
蘭,1
里,1
尺,1
食,1
遊,1
戲,1
背,2
疼,2
或,2
溫,2
柔,2
愉,2
全,2
害,2
敢,2
完,2
摸,2
像,2
羞,2
熟,2
危,2
險,2
直,2
性,2
趕,2
束,2
散,2
拉,2
幸,2
雖,2
把,2
擦,2
筷,2
刀,2
叉,2
匙,2
丟,2
急,2
髒,2
掃,2
暑,2
亂,2
念,2
唸,2
惜,2
哈,2
袋,2
