char,level
啊,1
不,1
貴,1
姓,1
國,1
好,1
華,1
人,1
叫,1
李,1
嗎,1
美,1
名,1
字,1
哪,1
你,1
您,1
誰,1
什,1
麼,1
是,1
他,1
她,1
臺,1
灣,1
台,1
王,1
我,1
先,1
生,1
英,1
中,1
久,1
見,1
很,1
冷,1
忙,1
們,1
去,1
熱,1
上,1
課,1
太,1
天,1
氣,1
小,1
姐,1
謝,1
也,1
再,1
早,1
張,1
趙,1
這,1
報,1
筆,1
車,1
德,1
文,1
電,1
視,1
影,1
東,1
西,1
懂,1
都,1
法,1
看,1
可,1
買,1
沒,1
汽,1
日,1
本,1
書,1
喜,1
歡,1
要,1
有,1
八,1
半,1
杯,1
多,1
少,1
二,1
分,1
個,1
給,1
幾,1
九,1
塊,1
兩,1
零,1
錢,1
六,1
毛,1
那,1
七,1
請,1
三,1
十,1
四,1
位,1
五,1
一,1
共,1
找,1
枝,1
種,1
爸,1
子,1
伯,1
的,1
弟,1
對,1
兒,1
哥,1
狗,1
還,1
孩,1
老,1
師,1
媽,1
貓,1
妹,1
男,1
朋,1
友,1
些,1
女,1
像,1
片,1
學,1
百,1
錶,1
大,1
機,1
夠,1
舊,1
覺,1
得,1
了,1
賣,1
便,1
宜,1
千,1
問,1
萬,1
想,1
新,1
校,1
億,1
照,1
真,1
知,1
道,1
只,1
會,1
菜,1
唱,1
吃,1
飯,1
歌,1
聽,1
喝,1
畫,1
話,1
教,1
酒,1
以,1
快,1
慢,1
難,1
呢,1
能,1
念,1
事,1
說,1
現,1
在,1
寫,1
點,1
意,1
思,1
做,1
愛,1
錯,1
定,1
茶,1
常,1
穿,1
父,1
母,1
親,1
家,1
件,1
就,1
容,1
易,1
水,1
所,1
跳,1
舞,1
外,1
為,1
衣,1
服,1
因,1
最,1
邊,1
樓,1
地,1
方,1
底,1
下,1
店,1
館,1
廳,1
房,1
間,1
附,1
近,1
後,1
面,1
客,1
離,1
裡,1
路,1
旁,1
前,1
商,1
桌,1
圖,1
屋,1
椅,1
遠,1
船,1
從,1
到,1
飛,1
跟,1
公,1
回,1
來,1
火,1
今,1
開,1
累,1
明,1
票,1
坐,1
午,1
時,1
候,1
停,1
玩,1
晚,1
已,1
經,1
怎,1
樣,1
走,1
昨,1
吧,1
班,1
別,1
差,1
床,1
等,1
鐘,1
起,1
站,1
司,1
過,1
刻,1
馬,1
題,1
每,1
門,1
口,1
睡,1
休,1
息,1
夜,1
頭,1
辦,1
試,1
春,1
季,1
節,1
冬,1
風,1
景,1
該,1
剛,1
號,1
急,1
年,1
考,1
輛,1
旅,1
行,1
歐,1
洲,1
期,1
秋,1
夏,1
雨,1
星,1
應,1
月,1
著,1
