char,level
的,1
是,1
一,1
個,1
我,1
有,1
不,1
也,1
們,1
你,1
都,1
說,1
要,1
人,1
對,1
很,1
來,1
和,1
她,1
好,1
以,1
年,1
到,1
沒,1
大,1
去,1
他,1
做,1
看,1
兩,1
後,1
什,1
麼,1
時,1
候,1
台,1
臺,1
多,1
用,1
想,1
現,1
天,1
前,1
可,1
能,1
月,1
小,1
知,1
道,1
家,1
嗎,1
問,1
新,1
給,1
呢,1
三,1
位,1
吃,1
元,1
工,1
日,1
子,1
歲,1
灣,1
太,1
東,1
西,1
媽,1
老,1
師,1
怎,1
幾,1
高,1
妳,1
學,1
生,1
美,1
國,1
今,1
本,1
中,1
水,1
書,1
吧,1
愛,1
帶,1
起,1
請,1
走,1
二,1
喜,1
歡,1
外,1
點,1
話,1
四,1
昨,1
校,1
找,1
叫,1
分,1
爸,1
朋,1
友,1
寫,1
聽,1
買,1
五,1
先,1
半,1
錢,1
您,1
車,1
誰,1
打,1
拿,1
路,1
快,1
哪,1
十,1
謝,1
坐,1
少,1
久,1
字,1
六,1
喝,1
裡,1
裏,1
兒,1
同,1
早,1
女,1
七,1
晚,1
上,1
八,1
英,1
下,1
午,1
茶,1
姐,1
電,1
百,1
手,1
機,1
名,1
號,1
哥,1
法,1
千,1
九,1
咖,1
啡,1
妹,1
飯,1
弟,1
明,1
覺,1
再,1
見,1
姓,1
星,1
期,1
安,1
又,1
口,1
山,1
己,1
公,1
心,1
文,1
方,1
比,1
火,1
牛,1
王,1
出,1
包,1
句,1
只,1
右,1
奶,1
它,1
左,1
白,1
件,1
休,1
共,1
因,1
在,1
地,1
自,1
衣,1
住,1
別,1
每,1
男,1
那,1
事,1
些,1
店,1
念,1
房,1
所,1
服,1
杯,1
果,1
枝,1
玩,1
空,1
花,1
長,1
門,1
雨,1
非,1
室,1
為,1
紅,1
面,1
風,1
飛,1
息,1
氣,1
真,1
眞,1
馬,1
唸,1
夠,1
常,1
張,1
得,1
從,1
教,1
這,1
就,1
最,1
短,1
開,1
黑,1
塊,1
會,1
跟,1
過,1
樂,1
樣,1
頭,1
還,1
鐘,1
了,2
讓,2
把,2
刀,2
已,2
才,2
化,2
片,2
冬,2
功,2
加,2
北,2
司,2
市,2
平,2
末,2
正,2
瓜,2
交,2
全,2
冰,2
各,2
回,2
如,2
忙,2
成,2
肉,2
色,2
行,2
但,2
作,2
冷,2
希,2
床,2
牀,2
忘,2
更,2
汽,2
言,2
身,2
始,2
定,2
宜,2
往,2
怕,2
或,2
放,2
易,2
狗,2
直,2
迎,2
近,2
亮,2
便,2
係,2
信,2
南,2
孩,2
客,2
思,2
春,2
洗,2
活,2
相,2
秋,2
穿,2
計,2
重,2
音,2
香,2
哭,2
夏,2
容,2
差,2
旁,2
旅,2
桌,2
海,2
特,2
班,2
病,2
站,2
笑,2
紙,2
送,2
院,2
隻,2
動,2
唱,2
啊,2
情,2
接,2
望,2
條,2
球,2
眼,2
票,2
第,2
累,2
習,2
蛋,2
袋,2
部,2
魚,2
單,2
場,2
椅,2
渴,2
然,2
畫,2
筆,2
等,2
舒,2
菜,2
視,2
貴,2
跑,2
進,2
間,2
黃,2
園,2
意,2
準,2
照,2
當,2
睛,2
筷,2
經,2
腦,2
腳,2
萬,2
試,2
跳,2
較,2
運,2
飽,2
像,2
圖,2
慢,2
歌,2
漂,2
睡,2
種,2
綠,2
認,2
語,2
遠,2
鼻,2
嘴,2
影,2
樓,2
熱,2
練,2
課,2
豬,2
賣,2
餓,2
樹,2
糕,2
興,2
貓,2
錯,2
餐,2
館,2
網,2
辦,2
幫,2
懂,2
