char,level,in_tbcl_chars
愛,1,1
吧,1,1
八,1,1
爸,1,1
百,1,1
半,1,1
本,1,1
不,1,1
茶,1,1
車,1,1
子,1,1
吃,1,1
飯,1,1
打,1,1
大,1,1
家,1,1
學,1,1
帶,1,1
到,1,1
的,1,1
點,1,1
電,1,1
話,1,1
弟,1,1
東,1,1
西,1,1
都,1,1
對,1,1
起,1,1
多,1,1
少,1,1
二,1,1
兒,1,1
分,1,1
高,1,1
個,1,1
哥,1,1
給,1,1
工,1,1
作,1,1
國,1,1
孩,1,1
和,1,1
號,1,1
好,1,1
喝,1,1
很,1,1
後,1,1
幾,1,1
叫,1,1
腳,1,1
姊,1,1
姐,1,1
今,1,1
年,1,1
天,1,1
就,1,1
久,1,1
九,1,1
咖,1,1
啡,1,1
看,1,1
可,1,1
能,1,1
以,1,1
塊,1,1
來,1,1
老,1,1
師,1,1
冷,1,1
兩,1,1
六,1,1
路,1,1
嗎,1,1
買,1,1
媽,1,1
沒,1,1
關,1,1
係,1,1
妹,1,1
有,1,1
們,1,1
名,1,1
字,1,1
明,1,1
拿,1,1
哪,1,1
裡,1,1
裏,1,1
那,1,1
難,1,1
呢,1,1
你,1,1
妳,1,1
您,1,1
女,1,1
朋,1,1
友,1,1
七,1,1
前,1,1
錢,1,1
千,1,1
請,1,1
問,1,1
去,1,1
熱,1,1
人,1,1
日,1,1
容,1,1
易,1,1
三,1,1
上,1,1
午,1,1
誰,1,1
什,1,1
麼,1,1
甚,1,1
十,1,1
是,1,1
時,1,1
候,1,1
間,1,1
手,1,1
機,1,1
書,1,1
水,1,1
睡,1,1
覺,1,1
說,1,1
四,1,1
歲,1,1
她,1,1
他,1,1
太,1,1
台,1,1
灣,1,1
臺,1,1
聽,1,1
同,1,1
外,1,1
晚,1,1
安,1,1
位,1,1
題,1,1
我,1,1
五,1,1
想,1,1
先,1,1
生,1,1
現,1,1
在,1,1
小,1,1
下,1,1
寫,1,1
謝,1,1
喜,1,1
歡,1,1
新,1,1
姓,1,1
星,1,1
期,1,1
一,1,1
校,1,1
要,1,1
也,1,1
月,1,1
醫,1,1
英,1,1
文,1,1
用,1,1
元,1,1
再,1,1
見,1,1
早,1,1
怎,1,1
找,1,1
這,1,1
知,1,1
道,1,1
中,1,1
走,1,1
做,1,1
坐,1,1
昨,1,1
矮,1,1
白,1,1
飽,1,1
包,1,1
杯,1,1
鼻,1,1
筆,1,1
比,1,1
邊,1,1
別,1,1
冰,1,1
病,1,1
錯,1,1
菜,1,1
餐,1,1
廳,1,1
長,1,1
唱,1,1
歌,1,1
常,1,1
出,1,1
穿,1,1
床,1,1
從,1,1
蛋,1,1
得,1,1
等,1,1
低,1,1
