char,level,tgh_index,pinyin
一,1,1,yī
乙,1,2,yǐ
二,1,3,èr
十,1,4,shí
丁,1,5,dīng
厂,1,6,chǎng
七,1,7,qī
卜,1,8,bo bǔ
八,1,9,bā
人,1,10,rén
入,1,11,rù
儿,1,12,ér
匕,1,13,bǐ
几,1,14,jī jǐ
九,1,15,jiǔ
刁,1,16,diāo
了,1,17,le liǎo
刀,1,18,dāo
力,1,19,lì
乃,1,20,nǎi
又,1,21,yòu
三,1,22,sān
干,1,23,gān gàn
于,1,24,yú
亏,1,25,kuī
工,1,26,gōng
土,1,27,tǔ
士,1,28,shì
才,1,29,cái
下,1,30,xià
寸,1,31,cùn
大,1,32,dà dài
丈,1,33,zhàng
与,1,34,yǔ yù
万,1,35,mò wàn
上,1,36,shǎng shàng
小,1,37,xiǎo
口,1,38,kǒu
山,1,39,shān
巾,1,40,jīn
千,1,41,qiān
乞,1,42,qǐ
川,1,43,chuān
亿,1,44,yì
个,1,45,gě gè
夕,1,46,xī
久,1,47,jiǔ
么,1,48,me
勺,1,49,sháo
凡,1,50,fán
丸,1,51,wán
及,1,52,jí
广,1,53,guǎng
亡,1,54,wáng
门,1,55,mén
丫,1,56,yā
义,1,57,yì
之,1,58,zhī
尸,1,59,shī
己,1,60,jǐ
已,1,61,yǐ
巳,1,62,sì
弓,1,63,gōng
子,1,64,zǐ
卫,1,65,wèi
也,1,66,yě
女,1,67,nǚ
刃,1,68,rèn
飞,1,69,fēi
习,1,70,xí
叉,1,71,chā chá chǎ chà
马,1,72,mǎ
乡,1,73,xiāng
丰,1,74,fēng
王,1,75,wáng
开,1,76,kāi
井,1,77,jǐng
天,1,78,tiān
夫,1,79,fū
元,1,80,yuán
无,1,81,mó wú
云,1,82,yún
专,1,83,zhuān
丐,1,84,gài
扎,1,85,zā zhā zhá
艺,1,86,yì
木,1,87,mù
五,1,88,wǔ
支,1,89,zhī
厅,1,90,tīng
不,1,91,bù
犬,1,92,quǎn
太,1,93,tài
区,1,94,ōu qū
历,1,95,lì
歹,1,96,dǎi
友,1,97,yǒu
尤,1,98,yóu
匹,1,99,pǐ
车,1,100,chē jū
巨,1,101,jù
牙,1,102,yá
屯,1,103,tún
戈,1,104,gē
比,1,105,bǐ
互,1,106,hù
切,1,107,qiē qiè
瓦,1,108,wǎ wà
止,1,109,zhǐ
少,1,110,shǎo shào
曰,1,111,yuē
日,1,112,rì
中,1,113,zhōng zhòng
贝,1,114,bèi
冈,1,115,gāng
内,1,116,nèi
水,1,117,shuǐ
见,1,118,jiàn xiàn
午,1,119,wǔ
牛,1,120,niú
手,1,121,shǒu
气,1,122,qì
毛,1,123,máo
壬,1,124,rén
升,1,125,shēng
夭,1,126,yāo
长,1,127,cháng zhǎng
仁,1,128,rén
什,1,129,shén shí
片,1,130,piān piàn
仆,1,131,pū pú
化,1,132,huà
仇,1,133,chóu qiú
币,1,134,bì
仍,1,135,réng
仅,1,136,jǐn
斤,1,137,jīn
爪,1,138,zhǎo zhuǎ
反,1,139,fǎn
介,1,140,jiè
父,1,141,fù
从,1,142,cóng
仑,1,143,lún
今,1,144,jīn
凶,1,145,xiōng
分,1,146,fēn fèn
乏,1,147,fá
公,1,148,gōng
仓,1,149,cāng
月,1,150,yuè
氏,1,151,shì zhī
勿,1,152,wù
欠,1,153,qiàn
风,1,154,fēng
丹,1,155,dān
匀,1,156,yún
乌,1,157,wū
勾,1,158,gōu gòu
凤,1,159,fèng
六,1,160,liù
文,1,161,wén
亢,1,162,kàng
方,1,163,fāng
火,1,164,huǒ
为,1,165,wéi wèi
斗,1,166,dǒu dòu
忆,1,167,yì
计,1,168,jì
订,1,169,dìng
户,1,170,hù
认,1,171,rèn
冗,1,172,rǒng
讥,1,173,jī
心,1,174,xīn
尺,1,175,chě chǐ
引,1,176,yǐn
丑,1,177,chǒu
巴,1,178,bā
孔,1,179,kǒng
队,1,180,duì
办,1,181,bàn
以,1,182,yǐ
允,1,183,yǔn
予,1,184,yú yǔ
邓,1,185,dèng
劝,1,186,quàn
双,1,187,shuāng
书,1,188,shū
幻,1,189,huàn
玉,1,190,yù
刊,1,191,kān
未,1,192,wèi
末,1,193,mò
示,1,194,shì
击,1,195,jī
打,1,196,dá dǎ
巧,1,197,qiǎo
正,1,198,zhēng zhèng
扑,1,199,pū
卉,1,200,huì
扒,1,201,bā pá
功,1,202,gōng
扔,1,203,rēng
去,1,204,qù
甘,1,205,gān
世,1,206,shì
艾,1,207,ài yì
古,1,208,gǔ
节,1,209,jiē jié
本,1,210,běn
术,1,211,shù zhú
可,1,212,kě kè
丙,1,213,bǐng
左,1,214,zuǒ
厉,1,215,lì
石,1,216,dàn shí
右,1,217,yòu
布,1,218,bù
夯,1,219,hāng
戊,1,220,wù
龙,1,221,lóng
平,1,222,píng
灭,1,223,miè
轧,1,224,yà zhá
东,1,225,dōng
卡,1,226,kǎ qiǎ
北,1,227,běi
占,1,228,zhān zhàn
凸,1,229,tū
卢,1,230,lú
业,1,231,yè
旧,1,232,jiù
帅,1,233,shuài
归,1,234,guī
旦,1,235,dàn
目,1,236,mù
且,1,237,qiě
叶,1,238,xié yè
甲,1,239,jiǎ
申,1,240,shēn
叮,1,241,dīng
电,1,242,diàn
号,1,243,háo hào
田,1,244,tián
由,1,245,yóu
只,1,246,zhī zhǐ
叭,1,247,bā
史,1,248,shǐ
央,1,249,yāng
兄,1,250,xiōng
叽,1,251,jī
叼,1,252,diāo
叫,1,253,jiào
叩,1,254,kòu
叨,1,255,dāo dáo tāo
另,1,256,lìng
叹,1,257,tàn
冉,1,258,rǎn
皿,1,259,mǐn
凹,1,260,āo
囚,1,261,qiú
四,1,262,sì
生,1,263,shēng
矢,1,264,shǐ
失,1,265,shī
乍,1,266,zhà
禾,1,267,hé
丘,1,268,qiū
付,1,269,fù
仗,1,270,zhàng
代,1,271,dài
仙,1,272,xiān
们,1,273,mén men
仪,1,274,yí
白,1,275,bái
仔,1,276,zǎi zǐ
他,1,277,tā
斥,1,278,chì
瓜,1,279,guā
乎,1,280,hū
丛,1,281,cóng
令,1,282,líng lǐng lìng
用,1,283,yòng
甩,1,284,shuǎi
印,1,285,yìn
尔,1,286,ěr
乐,1,287,lè yuè
句,1,288,gōu jù
匆,1,289,cōng
册,1,290,cè
卯,1,291,mǎo
犯,1,292,fàn
外,1,293,wài
处,1,294,chǔ chù
冬,1,295,dōng
鸟,1,296,niǎo
务,1,297,wù
包,1,298,bāo
饥,1,299,jī
主,1,300,zhǔ
市,1,301,shì
立,1,302,lì
冯,1,303,féng
玄,1,304,xuán
闪,1,305,shǎn
兰,1,306,lán
半,1,307,bàn
汁,1,308,zhī
汇,1,309,huì
头,1,310,tóu
汉,1,311,hàn
宁,1,312,níng nìng
穴,1,313,xué
它,1,314,tā
讨,1,315,tǎo
写,1,316,xiě
让,1,317,ràng
礼,1,318,lǐ
训,1,319,xùn
议,1,320,yì
必,1,321,bì
讯,1,322,xùn
记,1,323,jì
永,1,324,yǒng
司,1,325,sī
尼,1,326,ní
民,1,327,mín
弗,1,328,fú
弘,1,329,hóng
出,1,330,chū
辽,1,331,liáo
奶,1,332,nǎi
奴,1,333,nú
召,1,334,shào zhào
加,1,335,jiā
皮,1,336,pí
边,1,337,biān
孕,1,338,yùn
发,1,339,fā fà
圣,1,340,shèng
对,1,341,duì
台,1,342,tāi tái
矛,1,343,máo
纠,1,344,jiū
母,1,345,mǔ
幼,1,346,yòu
丝,1,347,sī
邦,1,348,bāng
式,1,349,shì
迂,1,350,yū
刑,1,351,xíng
戎,1,352,róng
动,1,353,dòng
扛,1,354,gāng káng
寺,1,355,sì
吉,1,356,jí
扣,1,357,kòu
考,1,358,kǎo
托,1,359,tuō
老,1,360,lǎo
巩,1,361,gǒng
圾,1,362,jī
执,1,363,zhí
扩,1,364,kuò
扫,1,365,sǎo sào
地,1,366,de dì
场,1,367,cháng chǎng
扬,1,368,yáng
耳,1,369,ěr
芋,1,370,yù
共,1,371,gòng
芒,1,372,máng
亚,1,373,yà
芝,1,374,zhī
朽,1,375,xiǔ
朴,1,376,piáo pò pǔ
机,1,377,jī
权,1,378,quán
过,1,379,guō guò
臣,1,380,chén
吏,1,381,lì
再,1,382,zài
协,1,383,xié
西,1,384,xī
压,1,385,yā yà
厌,1,386,yàn
戌,1,387,qu xū
在,1,388,zài
百,1,389,bǎi
有,1,390,yǒu
存,1,391,cún
而,1,392,ér
页,1,393,yè
匠,1,394,jiàng
夸,1,395,kuā
夺,1,396,duó
灰,1,397,huī
达,1,398,dá
列,1,399,liè
死,1,400,sǐ
成,1,401,chéng
夹,1,402,gā jiā jiá
夷,1,403,yí
轨,1,404,guǐ
邪,1,405,xié
尧,1,406,yáo
划,1,407,huá huà
迈,1,408,mài
毕,1,409,bì
至,1,410,zhì
此,1,411,cǐ
贞,1,412,zhēn
师,1,413,shī
尘,1,414,chén
尖,1,415,jiān
劣,1,416,liè
光,1,417,guāng
当,1,418,dāng dàng
早,1,419,zǎo
吁,1,420,xū yū yù
吐,1,421,tǔ tù
吓,1,422,hè xià
虫,1,423,chóng
曲,1,424,qū qǔ
团,1,425,tuán
吕,1,426,lǚ
同,1,427,tóng tòng
吊,1,428,diào
吃,1,429,chī
因,1,430,yīn
吸,1,431,xī
吗,1,432,má mǎ ma
吆,1,433,yāo
屿,1,434,yǔ
屹,1,435,yì
岁,1,436,suì
帆,1,437,fān
回,1,438,huí
岂,1,439,qǐ
则,1,440,zé
刚,1,441,gāng
网,1,442,wǎng
肉,1,443,ròu
年,1,444,nián
朱,1,445,zhū
先,1,446,xiān
丢,1,447,diū
廷,1,448,tíng
舌,1,449,shé
竹,1,450,zhú
迁,1,451,qiān
乔,1,452,qiáo
迄,1,453,qì
伟,1,454,wěi
传,1,455,chuán zhuàn
乒,1,456,pīng
乓,1,457,pāng
休,1,458,xiū
伍,1,459,wǔ
伏,1,460,fú
优,1,461,yōu
臼,1,462,jiù
伐,1,463,fá
延,1,464,yán
仲,1,465,zhòng
件,1,466,jiàn
任,1,467,rén rèn
伤,1,468,shāng
价,1,469,jià jie
伦,1,470,lún
份,1,471,fèn
华,1,472,huá huà
仰,1,473,yǎng
仿,1,474,fǎng
伙,1,475,huǒ
伪,1,476,wěi
自,1,477,zì
伊,1,478,yī
血,1,479,xiě xuè
向,1,480,xiàng
似,1,481,shì sì
后,1,482,hòu
行,1,483,háng héng xíng
舟,1,484,zhōu
全,1,485,quán
会,1,486,huì kuài
杀,1,487,shā
合,1,488,gě hé
兆,1,489,zhào
企,1,490,qǐ
众,1,491,zhòng
爷,1,492,yé
伞,1,493,sǎn
创,1,494,chuāng chuàng
肌,1,495,jī
肋,1,496,lèi
朵,1,497,duǒ
杂,1,498,zá
危,1,499,wēi
旬,1,500,xún
旨,1,501,zhǐ
旭,1,502,xù
负,1,503,fù
匈,1,504,xiōng
名,1,505,míng
各,1,506,gè
多,1,507,duō
争,1,508,zhēng
色,1,509,sè shǎi
壮,1,510,zhuàng
冲,1,511,chōng chòng
妆,1,512,zhuāng
冰,1,513,bīng
庄,1,514,zhuāng
庆,1,515,qìng
亦,1,516,yì
刘,1,517,liú
齐,1,518,qí
交,1,519,jiāo
衣,1,520,yī
次,1,521,cì
产,1,522,chǎn
决,1,523,jué
亥,1,524,hài
充,1,525,chōng
妄,1,526,wàng
闭,1,527,bì
问,1,528,wèn
闯,1,529,chuǎng
羊,1,530,yáng
并,1,531,bīng bìng
关,1,532,guān
米,1,533,mǐ
灯,1,534,dēng
州,1,535,zhōu
汗,1,536,hán hàn
污,1,537,wū
江,1,538,jiāng
汛,1,539,xùn
池,1,540,chí
汝,1,541,rǔ
汤,1,542,tāng
忙,1,543,máng
兴,1,544,xīng xìng
宇,1,545,yǔ
守,1,546,shǒu
宅,1,547,zhái
字,1,548,zì
安,1,549,ān
讲,1,550,jiǎng
讳,1,551,huì
军,1,552,jūn
讶,1,553,yà
许,1,554,xǔ
讹,1,555,é
论,1,556,lún lùn
讼,1,557,sòng
农,1,558,nóng
讽,1,559,fěng
设,1,560,shè
访,1,561,fǎng
诀,1,562,jué
寻,1,563,xún
那,1,564,nā nà
迅,1,565,xùn
尽,1,566,jǐn jìn
导,1,567,dǎo
异,1,568,yì
弛,1,569,chí
孙,1,570,sūn
阵,1,571,zhèn
阳,1,572,yáng
收,1,573,shōu
阶,1,574,jiē
阴,1,575,yīn
防,1,576,fáng
奸,1,577,jiān
如,1,578,rú
妇,1,579,fù
妃,1,580,fēi
好,1,581,hǎo hào
她,1,582,tā
妈,1,583,mā
戏,1,584,xì
羽,1,585,yǔ
观,1,586,guān guàn
欢,1,587,huān
买,1,588,mǎi
红,1,589,hóng
驮,1,590,duò tuó
纤,1,591,qiàn xiān
驯,1,592,xùn
约,1,593,yāo yuē
级,1,594,jí
纪,1,595,jǐ jì
驰,1,596,chí
纫,1,597,rèn
巡,1,598,xún
寿,1,599,shòu
弄,1,600,lòng nòng
麦,1,601,mài
玖,1,602,jiǔ
玛,1,603,mǎ
形,1,604,xíng
进,1,605,jìn
戒,1,606,jiè
吞,1,607,tūn
远,1,608,yuǎn
违,1,609,wéi
韧,1,610,rèn
运,1,611,yùn
扶,1,612,fú
抚,1,613,fǔ
坛,1,614,tán
技,1,615,jì
坏,1,616,huài
抠,1,617,kōu
扰,1,618,rǎo
扼,1,619,è
拒,1,620,jù
找,1,621,zhǎo
批,1,622,pī
址,1,623,zhǐ
扯,1,624,chě
走,1,625,zǒu
抄,1,626,chāo
贡,1,627,gòng
汞,1,628,gǒng
坝,1,629,bà
攻,1,630,gōng
赤,1,631,chì
折,1,632,shé zhē zhé
抓,1,633,zhuā
扳,1,634,bān
抡,1,635,lūn
扮,1,636,bàn
抢,1,637,qiāng qiǎng
孝,1,638,xiào
坎,1,639,kǎn
均,1,640,jūn
抑,1,641,yì
抛,1,642,pāo
投,1,643,tóu
坟,1,644,fén
坑,1,645,kēng
抗,1,646,kàng
坊,1,647,fāng fáng
抖,1,648,dǒu
护,1,649,hù
壳,1,650,ké qiào
志,1,651,zhì
块,1,652,kuài
扭,1,653,niǔ
声,1,654,shēng
把,1,655,bǎ bà
报,1,656,bào
拟,1,657,nǐ
却,1,658,què
抒,1,659,shū
劫,1,660,jié
芙,1,661,fú
芜,1,662,wú
苇,1,663,wěi
芽,1,664,yá
花,1,665,huā
芹,1,666,qín
芥,1,667,gài jiè
芬,1,668,fēn
苍,1,669,cāng
芳,1,670,fāng
严,1,671,yán
芦,1,672,lú lǔ
芯,1,673,xīn xìn
劳,1,674,láo
克,1,675,kè
芭,1,676,bā
苏,1,677,sū
杆,1,678,gān gǎn
杠,1,679,gàng
杜,1,680,dù
材,1,681,cái
村,1,682,cūn
杖,1,683,zhàng
杏,1,684,xìng
杉,1,685,shā shān
巫,1,686,wū
极,1,687,jí
李,1,688,lǐ
杨,1,689,yáng
求,1,690,qiú
甫,1,691,fǔ
匣,1,692,xiá
更,1,693,gēng gèng
束,1,694,shù
吾,1,695,wú
豆,1,696,dòu
两,1,697,liǎng
酉,1,698,yǒu
丽,1,699,lí lì
医,1,700,yī
辰,1,701,chén
励,1,702,lì
否,1,703,fǒu pǐ
还,1,704,hái huán
尬,1,705,gà
歼,1,706,jiān
来,1,707,lái
连,1,708,lián
轩,1,709,xuān
步,1,710,bù
卤,1,711,lǔ
坚,1,712,jiān
肖,1,713,xiāo xiào
旱,1,714,hàn
盯,1,715,dīng
呈,1,716,chéng
时,1,717,shí
吴,1,718,wú
助,1,719,zhù
县,1,720,xiàn
里,1,721,lǐ
呆,1,722,dāi
吱,1,723,zhī zī
吠,1,724,fèi
呕,1,725,ǒu
园,1,726,yuán
旷,1,727,kuàng
围,1,728,wéi
呀,1,729,yā ya
吨,1,730,dūn
足,1,731,zú
邮,1,732,yóu
男,1,733,nán
困,1,734,kùn
吵,1,735,chāo chǎo
串,1,736,chuàn
员,1,737,yuán yùn
呐,1,738,nà
听,1,739,tīng
吟,1,740,yín
吩,1,741,fēn
呛,1,742,qiāng qiàng
吻,1,743,wěn
吹,1,744,chuī
呜,1,745,wū
吭,1,746,háng kēng
吧,1,747,bā ba
邑,1,748,yì
吼,1,749,hǒu
囤,1,750,dùn tún
别,1,751,bié biè
吮,1,752,shǔn
岖,1,753,qū
岗,1,754,gāng gǎng
帐,1,755,zhàng
财,1,756,cái
针,1,757,zhēn
钉,1,758,dīng dìng
牡,1,759,mǔ
告,1,760,gào
我,1,761,wǒ
乱,1,762,luàn
利,1,763,lì
秃,1,764,tū
秀,1,765,xiù
私,1,766,sī
每,1,767,měi
兵,1,768,bīng
估,1,769,gū gù
体,1,770,tī tǐ
何,1,771,hé
佐,1,772,zuǒ
佑,1,773,yòu
但,1,774,dàn
伸,1,775,shēn
佃,1,776,diàn
作,1,777,zuō zuò
伯,1,778,bǎi bó
伶,1,779,líng
佣,1,780,yōng yòng
低,1,781,dī
你,1,782,nǐ
住,1,783,zhù
位,1,784,wèi
伴,1,785,bàn
身,1,786,shēn
皂,1,787,zào
伺,1,788,cì sì
佛,1,789,fó fú
囱,1,790,cōng
近,1,791,jìn
彻,1,792,chè
役,1,793,yì
返,1,794,fǎn
余,1,795,yú
希,1,796,xī
坐,1,797,zuò
谷,1,798,gǔ
妥,1,799,tuǒ
