char,level
我,0
你,0
妳,0
他,0
她,0
們,0
您,0
誰,0
人,0
中,0
國,0
美,0
日,0
本,0
台,0
灣,0
名,0
字,0
家,0
電,0
話,0
現,0
在,0
今,0
年,0
天,0
明,0
昨,0
早,0
上,0
午,0
下,0
晚,0
一,0
二,0
三,0
四,0
五,0
六,0
七,0
八,0
九,0
十,0
零,0
兩,0
時,0
候,0
百,0
半,0
爸,0
媽,0
哥,0
弟,0
姊,0
姐,0
妹,0
的,0
第,0
分,0
點,0
個,0
歲,0
住,0
來,0
是,0
姓,0
覺,0
得,0
喜,0
歡,0
打,0
高,0
興,0
漂,0
亮,0
好,0
很,0
真,0
腦,0
老,0
師,0
買,0
忙,0
學,0
生,0
大,0
校,0
筆,0
問,0
說,0
寫,0
聽,0
練,0
習,0
能,0
可,0
以,0
課,0
知,0
道,0
視,0
機,0
水,0
再,0
書,0
影,0
前,0
後,0
走,0
等,0
看,0
什,0
麼,0
朋,0
友,0
東,0
西,0
吧,0
呢,0
嗎,0
找,0
做,0
見,0
怎,0
樣,0
叫,0
謝,0
對,0
不,0
起,0
請,0
這,0
那,0
公,0
共,0
汽,0
車,0
子,0
到,0
去,0
回,0
坐,0
開,0
錢,0
多,0
少,0
給,0
貴,0
便,0
宜,0
小,0
難,0
容,0
易,0
有,0
想,0
幾,0
塊,0
飯,0
吃,0
也,0
沒,0
都,0
只,0
還,0
了,0
過,0
男,0
女,0
孩,0
先,0
太,0
兒,0
路,0
手,0
號,0
碼,0
月,0
星,0
期,0
週,0
末,0
從,0
笑,0
愛,0
快,0
樂,0
非,0
常,0
工,0
作,0
醫,0
院,0
司,0
賣,0
準,0
備,0
些,0
張,0
級,0
英,0
文,0
紙,0
題,0
意,0
思,0
圖,0
館,0
數,0
歷,0
史,0
餐,0
廳,0
參,0
加,0
畫,0
讀,0
會,0
趣,0
為,0
考,0
試,0
懂,0
氣,0
房,0
門,0
山,0
客,0
河,0
狗,0
花,0
風,0
海,0
魚,0
樹,0
冷,0
熱,0
洗,0
澡,0
咖,0
啡,0
茶,0
活,0
用,0
穿,0
床,0
方,0
睡,0
每,0
次,0
音,0
票,0
照,0
片,0
玩,0
跑,0
運,0
動,0
始,0
唱,0
歌,0
信,0
喂,0
介,0
紹,0
換,0
認,0
識,0
關,0
係,0
哪,0
裡,0
面,0
外,0
右,0
邊,0
左,0
旁,0
間,0
地,0
鐵,0
附,0
近,0
離,0
往,0
送,0
帶,0
放,0
拿,0
進,0
出,0
站,0
慢,0
遠,0
身,0
體,0
眼,0
睛,0
藥,0
累,0
雙,0
元,0
鞋,0
褲,0
市,0
場,0
衣,0
服,0
比,0
要,0
長,0
新,0
件,0
杯,0
瓶,0
菜,0
蘋,0
果,0
肉,0
酒,0
喝,0
因,0
和,0
所,0
跟,0
著,0
園,1
城,1
街,1
郵,1
結,1
婚,1
鐘,1
夏,1
冬,1
秋,1
春,1
輕,1
緊,1
胖,1
矮,1
瘦,1
千,1
萬,1
辦,1
室,1
廠,1
護,1
士,1
闆,1
板,1
同,1
事,1
班,1
業,1
功,1
假,1
教,1
廁,1
語,1
言,1
科,1
華,1
黑,1
句,1
注,1
答,1
休,1
息,1
決,1
定,1
記,1
廚,1
窗,1
戶,1
樓,1
梯,1
具,1
椅,1
桌,1
沙,1
發,1
安,1
靜,1
錯,1
湖,1
馬,1
鳥,1
貓,1
雞,1
陽,1
雨,1
雪,1
游,1
泳,1
踢,1
足,1
球,1
籃,1
網,1
棒,1
賽,1
騎,1
腳,1
踏,1
自,1
行,1
步,1
表,1
演,1
輸,1
贏,1
久,1
報,1
禮,1
物,1
迎,1
封,1
寄,1
接,1
局,1
銀,1
警,1
察,1
壞,1
幫,1
計,1
程,1
火,1
飛,1
口,1
旅,1
店,1
觀,1
相,1
景,1
頭,1
髮,1
耳,1
朵,1
指,1
肚,1
健,1
康,1
感,1
冒,1
病,1
受,1
傷,1
餓,1
渴,1
舒,1
鏡,1
痛,1
希,1
望,1
商,1
重,1
斤,1
顏,1
色,1
黃,1
白,1
襪,1
裙,1
短,1
心,1
牛,1
奶,1
蛋,1
餃,1
麵,1
湯,1
包,1
糕,1
香,1
蕉,1
食,1
飲,1
料,1
汁,1
甜,1
單,1
巧,1
克,1
力,1
碗,1
盤,1
址,2
傳,2
留,2
夜,2
拜,2
剛,2
才,2
當,2
然,2
己,2
別,2
紀,2
慣,2
庭,2
父,2
親,2
母,2
爺,2
堂,2
最,2
更,2
愉,2
急,2
擔,2
怕,2
哭,2
麗,2
聰,2
勇,2
敢,2
貌,2
害,2
羞,2
應,2
該,2
經,2
驗,2
辛,2
苦,2
願,2
情,2
幸,2
福,2
憐,2
差,2
職,2
理,2
者,2
務,2
員,2
顧,2
危,2
險,2
全,2
成,2
告,2
算,2
如,2
劃,2
努,2
管,2
畢,2
績,2
費,2
暑,2
寒,2
宿,2
舍,2
操,2
化,2
法,2
漢,2
典,2
鉛,2
尺,2
毛,2
講,2
訴,2
念,2
唸,2
討,2
論,2
解,2
釋,2
瞭,2
清,2
楚,2
無,2
聊,2
遍,2
交,2
借,2
忘,2
寓,2
臥,2
浴,2
牆,2
冰,2
箱,2
燈,2
盒,2
鄰,2
居,2
鬧,2
吵,2
滿,2
乾,2
淨,2
租,2
鄉,2
森,2
林,2
草,2
枝,2
隻,2
虎,2
羊,2
豬,2
雲,2
世,2
界,2
環,2
境,2
晴,2
暖,2
涼,2
溫,2
度,2
空,2
掃,2
搬,2
掛,2
束,2
完,2
散,2
爬,2
跳,2
座,2
位,2
博,2
節,2
目,2
聞,2
政,2
治,2
育,2
平,2
總,2
已,2
各,2
雜,2
誌,2
章,2
故,2
術,2
藝,2
收,2
談,2
遲,2
變,2
舞,2
器,2
吉,2
鋼,2
琴,2
就,2
消,2
又,2
慶,2
祝,2
約,2
卡,2
弄,2
檢,2
查,2
通,2
麻,2
煩,2
偷,2
拉,2
丟,2
啊,2
輛,2
船,2
停,2
搭,2
紅,2
綠,2
橋,2
遊,2
向,2
南,2
部,2
北,2
轉,2
掉,2
直,2
躺,2
李,2
油,2
