char,level
一,1
人,1
下,1
上,1
大,1
子,1
小,1
不,1
中,1
天,1
心,1
水,1
出,1
生,1
地,1
如,1
年,1
有,1
自,1
事,1
來,1
長,1
為,1
面,1
家,1
氣,1
起,1
高,1
動,1
國,1
得,1
開,1
道,1
學,1
以,1
可,1
用,1
多,1
好,1
和,1
所,1
後,1
是,1
時,1
著,1
過,1
說,1
了,1
去,1
在,1
沒,1
到,1
要,1
能,1
做,1
常,1
就,1
樣,1
個,1
又,1
他,1
的,1
這,1
也,1
很,1
外,1
同,1
成,1
作,1
發,1
會,1
知,1
對,1
點,1
看,1
等,1
想,1
我,1
候,1
都,1
最,1
花,1
那,1
還,1
麼,1
你,1
三,1
分,1
方,1
日,1
打,1
老,1
物,1
書,1
然,1
二,1
而,1
定,1
果,1
前,1
間,1
當,1
十,1
叫,1
因,1
從,1
現,1
像,1
種,1
裡,1
們,1
意,1
回,1
些,1
力,1
公,1
手,1
西,1
車,1
明,1
情,1
頭,1
見,1
走,1
東,1
經,1
話,1
樂,1
比,1
把,1
體,1
兩,1
快,1
正,1
才,1
太,1
吃,1
真,1
給,1
第,1
覺,1
只,1
每,1
山,1
白,1
兒,1
聲,1
本,1
美,1
帶,1
進,1
位,1
使,1
之,1
行,1
法,1
次,1
弟,1
寫,1
跟,1
色,1
電,1
字,1
於,1
表,1
愛,1
問,1
錢,1
邊,1
聽,1
再,1
完,1
幾,1
但,1
名,1
身,1
風,1
月,1
全,1
放,1
路,1
別,1
己,1
相,1
什,1
早,1
文,1
合,1
重,1
理,1
喜,1
或,1
工,1
四,1
被,1
媽,1
爸,1
部,1
直,2
空,2
變,2
師,2
友,2
歡,2
各,2
無,2
音,2
球,2
數,2
興,2
已,2
拿,2
讀,2
口,2
平,2
加,2
活,2
原,2
畫,2
實,2
應,2
海,2
先,2
住,2
教,2
處,2
難,2
今,2
課,2
五,2
校,2
她,2
眼,2
女,2
望,2
親,2
少,2
跑,2
光,2
衣,2
服,2
接,2
清,2
場,2
新,2
父,2
向,2
期,2
許,2
玩,2
朋,2
呢,2
由,2
星,2
視,2
讓,2
主,2
通,2
運,2
六,2
形,2
妹,2
哥,2
坐,2
條,2
安,2
門,2
馬,2
機,2
受,2
飛,2
病,2
笑,2
感,2
節,2
樹,2
告,2
記,2
請,2
件,2
它,2
買,2
隻,2
午,2
怎,2
內,2
民,2
其,2
王,2
考,2
飯,2
母,2
習,2
孩,2
死,2
神,2
信,2
紅,2
魚,2
亮,2
立,2
嗎,2
世,2
百,2
房,2
張,2
結,2
功,2
非,2
便,2
晚,2
並,2
金,2
木,2
代,2
業,2
語,2
元,2
容,2
將,2
此,2
連,2
睡,2
怕,2
火,2
河,2
雨,2
食,2
關,2
總,2
更,2
且,2
指,2
量,2
目,2
報,2
滿,2
故,2
遠,2
班,2
類,2
題,2
答,2
化,2
度,2
往,2
八,2
反,2
交,2
利,2
紙,2
強,2
解,2
管,2
精,2
九,2
具,2
害,2
跳,2
麗,2
幫,2
找,2
號,2
流,2
片,2
收,2
夜,2
界,2
苦,2
陽,2
照,2
遊,2
希,2
半,3
步,3
保,3
倒,3
熱,3
包,3
整,3
姊,3
古,3
林,3
算,3
與,3
輕,3
器,3
較,3
計,3
牠,3
入,3
性,3
軍,3
菜,3
園,3
燈,3
歌,3
注,3
土,3
南,3
忙,3
該,3
北,3
失,3
皮,3
草,3
黃,3
近,3
假,3
唱,3
排,3
船,3
試,3
臺,3
始,3
共,3
命,3
隊,3
黑,3
送,3
乾,3
養,3
久,3
認,3
思,3
圖,3
論,3
觀,3
卻,3
雖,3
社,3
賽,3
石,3
特,3
華,3
傳,3
任,3
念,3
士,3
毛,3
筆,3
萬,3
禮,3
七,3
級,3
造,3
青,3
客,3
香,3
影,3
助,3
改,3
穿,3
息,3
停,3
傷,3
演,3
講,3
醫,3
越,3
慢,3
句,3
建,3
提,3
言,3
義,3
葉,3
戰,3
鳥,3
必,3
喝,3
趕,3
吧,3
升,3
市,3
品,3
育,3
屋,3
求,3
室,3
轉,3
除,3
訴,3
足,3
院,3
雲,3
腳,3
男,3
奇,3
英,3
掉,3
備,3
景,3
象,3
綠,3
緊,3
辦,3
錯,3
識,3
壞,3
庭,3
政,3
稱,3
婆,3
細,3
落,3
圓,3
者,3
取,3
裝,3
決,3
肉,3
休,3
刻,3
易,3
根,3
離,3
藥,3
練,3
角,3
積,3
千,3
夫,3
布,3
春,3
亂,3
田,3
周,3
約,3
終,3
例,3
響,3
員,3
線,3
產,3
示,3
牛,3
守,3
何,3
呼,3
參,3
溫,3
選,3
戲,3
護,3
忽,3
剛,3
準,3
趣,3
敢,3
漸,3
夠,3
及,3
式,3
狗,3
極,3
奶,3
設,3
啊,3
首,3
料,3
段,3
酒,3
深,3
底,3
尺,3
省,3
居,3
板,3
單,3
消,3
留,3
隨,3
哪,3
令,3
血,3
油,3
城,3
費,3
存,3
怪,3
急,3
洗,3
破,3
勞,3
痛,3
農,3
舞,3
談,3
舉,3
謝,3
塊,3
敬,3
鐘,3
旁,3
換,3
歲,3
賣,3
靜,3
臉,3
詞,3
官,3
至,3
阿,3
餐,3
街,3
爺,3
調,3
切,3
呀,3
則,3
哭,3
科,3
商,3
集,3
背,3
座,3
統,3
達,3
蟲,3
忘,3
持,3
願,3
驗,3
誰,3
拉,3
味,3
救,3
童,3
鄉,3
順,3
福,3
環,3
雙,3
站,3
討,3
灣,3
努,3
睛,3
冷,4
夏,4
游,4
漂,4
朝,4
右,4
區,4
爭,4
斷,4
鐵,4
止,4
左,4
治,4
務,4
專,4
推,4
復,4
短,4
領,4
究,4
竹,4
規,4
需,4
秋,4
負,4
吸,4
您,4
盡,4
伯,4
架,4
搖,4
導,4
依,4
健,4
康,4
境,4
操,4
燒,4
爬,4
沙,4
差,4
野,4
腦,4
雞,4
永,4
桌,4
遇,4
引,4
狀,4
製,4
叔,4
曾,4
詩,4
吵,4
展,4
簡,4
府,4
史,4
格,4
程,4
圍,4
床,4
術,4
似,4
組,4
項,4
里,4
德,4
未,4
米,4
善,4
群,4
鼓,4
團,4
責,4
增,4
兵,4
殺,4
票,4
察,4
樓,4
寶,4
乘,4
淨,4
潔,4
續,4
係,4
曲,4
洋,4
堂,4
牙,4
良,4
店,4
待,4
茶,4
彩,4
勝,4
鬧,4
顧,4
免,4
吹,4
困,4
汽,4
旅,4
靠,4
查,4
江,4
甲,4
姓,4
制,4
眾,4
惡,4
般,4
低,4
紀,4
替,4
另,4
耳,4
司,4
局,4
防,4
枝,4
射,4
散,4
辛,4
顏,4
朵,4
拍,4
兄,4
投,4
齊,4
懷,4
充,4
龍,4
冰,4
灰,4
羊,4
洞,4
浪,4
針,4
敗,4
富,4
雄,4
險,4
幸,4
缺,4
速,4
棒,4
鮮,4
價,4
初,4
列,4
適,4
抓,4
置,4
乎,4
端,4
瓜,4
夢,4
廣,4
掃,4
植,4
質,4
玉,4
絲,4
盤,4
豆,4
基,4
頂,4
固,4
研,4
族,4
刀,4
李,4
貨,4
貴,4
嘴,4
橋,4
藏,4
姑,4
杯,4
染,4
煩,4
晨,4
某,4
警,4
貓,4
弄,4
志,4
泥,4
修,4
彈,4
糖,4
臨,4
驚,4
冬,4
危,4
孝,4
勇,4
突,4
追,4
零,4
賞,4
擔,4
昨,4
巴,4
迷,4
陳,4
聞,4
衛,4
抱,4
堆,4
涼,4
陸,4
優,4
避,4
幼,4
捉,4
慣,4
肯,4
支,4
罵,4
琴,4
確,4
密,4
祖,4
絕,4
章,4
標,4
伸,4
互,4
台,4
啦,4
骨,4
克,4
須,4
附,4
營,4
藍,4
材,4
蛋,4
武,4
拜,4
珠,4
暗,4
輪,4
壓,4
序,4
季,4
革,4
值,4
烈,4
閃,4
掛,4
減,4
嚴,4
煙,4
退,4
麻,4
寒,4
蓋,4
壯,4
娘,4
益,4
勤,4
誠,4
鞋,4
偉,4
惜,4
搬,4
績,4
顯,4
即,4
裏,4
戶,4
滑,4
忍,4
陣,4
窗,4
勢,4
莊,4
孔,4
素,4
供,4
印,4
微,4
資,4
擊,4
態,4
楚,4
鬼,4
婦,4
盛,4
漢,4
姐,4
末,4
胡,4
若,4
配,4
議,4
岸,4
熟,4
織,4
泳,4
屬,4
舊,4
財,4
軟,4
閒,4
躲,4
登,4
髮,4
派,4
銀,4
帝,4
偷,4
預,4
層,4
辭,4
陰,4
尊,4
敵,4
村,4
瓶,4
騎,4
嚇,4
孫,4
虎,4
封,4
付,4
袋,4
途,4
箱,4
激,4
繼,4
彎,4
肚,4
懂,4
兔,4
雪,4
翻,4
池,4
紛,4
採,4
鄰,4
麵,4
否,4
奮,4
醒,4
剩,4
冒,5
甚,5
仍,5
煮,5
測,5
尚,5
縣,5
堅,5
寬,5
劇,5
聯,5
檢,5
獨,5
據,5
犯,5
俗,5
粉,5
招,5
案,5
圈,5
異,5
補,5
廠,5
迎,5
哈,5
述,5
幹,5
牆,5
按,5
烏,5
技,5
攻,5
胞,5
歷,5
肥,5
模,5
巧,5
刺,5
拔,5
湯,5
鼠,5
榮,5
鼻,5
暴,5
館,5
卡,5
抗,5
束,5
訓,5
累,5
超,5
載,5
旗,5
恐,5
祝,5
碰,5
餓,5
含,5
乙,5
壁,5
珍,5
智,5
舒,5
暖,5
隔,5
獎,5
衝,5
擦,5
鬆,5
廳,5
露,5
液,5
施,5
際,5
濟,5
丟,5
維,5
況,5
份,5
竟,5
佛,5
鏡,5
律,5
尤,5
蝶,5
湖,5
典,5
源,5
歸,5
靈,5
限,5
波,5
毒,5
鬥,5
弱,5
揮,5
鉛,5
誤,5
鋼,5
蘇,5
概,5
讚,5
粗,5
介,5
抽,5
柔,5
借,5
摸,5
豬,5
輸,5
繩,5
欣,5
猜,5
碗,5
稻,5
忠,5
斤,5
伴,5
妙,5
噴,5
戴,5
陪,5
踏,5
聰,5
沈,5
職,5
雜,5
娃,5
尾,5
郵,5
盒,5
脾,5
寄,5
透,5
圾,5
酸,5
蟻,5
凡,5
型,5
皇,5
效,5
腿,5
棵,5
剪,5
折,5
厚,5
套,5
權,5
慶,5
亡,5
尖,5
君,5
松,5
怒,5
脫,5
飲,5
塞,5
貝,5
奔,5
泡,5
挑,5
逃,5
淡,5
創,5
悲,5
掌,5
厭,5
憂,5
撞,5
默,5
擺,5
佩,5
畢,5
既,5
髒,5
愉,5
顆,5
倍,5
致,5
島,5
窮,5
恨,5
捕,5
喊,5
郊,5
羅,5
玻,5
偏,5
棉,5
鈴,5
頓,5
廢,5
璃,5
槍,5
吐,5
汗,5
帽,5
筒,5
豐,5
勸,5
飄,5
享,5
抬,5
捨,5
椅,5
籃,5
輛,5
餘,5
錄,5
洲,5
罪,5
藝,5
移,5
硬,5
率,5
疑,5
遺,5
繁,5
構,5
燃,5
螞,5
私,5
均,5
齒,5
範,5
偶,5
爾,5
揚,5
森,5
轎,5
桃,5
蘭,5
探,5
符,5
威,5
殘,5
羽,5
損,5
釣,5
距,5
降,5
雅,5
禍,5
災,5
淚,5
猛,5
滅,5
飽,5
滴,5
貌,5
箭,5
舅,5
篇,5
獻,5
蜜,5
仁,5
仙,5
溜,5
聖,5
刷,5
姿,5
棄,5
甜,5
貼,5
播,5
潮,5
遲,5
粒,5
奏,5
沖,5
欺,5
廚,5
擠,5
紹,5
勵,5
頁,5
蝴,5
宗,5
證,5
曆,5
婚,5
釋,5
哇,5
築,5
幻,5
斯,5
徒,5
填,5
縮,5
橫,5
丈,5
污,5
徑,5
普,5
獲,5
遍,5
糕,5
昏,5
亞,5
愈,5
輝,5
碎,5
爽,5
莫,5
訪,5
殼,5
廟,5
輩,5
侵,5
宮,5
腰,5
繞,5
敲,5
暑,5
慰,5
卷,5
耕,5
梯,5
餅,5
鎮,5
晴,5
垃,5
丁,5
孤,5
甘,5
秀,5
宜,5
倫,5
惠,5
週,5
溝,5
擇,5
鴨,5
貢,5
跌,5
搶,5
懶,5
疼,5
恩,5
耐,5
憐,5
潑,5
乖,5
編,5
振,5
秦,5
薄,5
階,5
塗,5
略,5
禁,5
墨,5
妻,5
