ID,Traditional,Source,Start,End,Transcribed,OK
B1L00-1-01,老師,B1-00-13.mp3,2.92,4.48,老師,1
B1L00-1-02,學生,B1-00-13.mp3,7.33,9.0,學生,1
B1L00-1-03,你,B1-00-13.mp3,12.04,13.33,你,1
B1L00-1-04,我,B1-00-13.mp3,16.02,17.29,我,1
B1L00-1-05,他,B1-00-13.mp3,20.33,21.54,他,1
B1L00-1-06,是,B1-00-13.mp3,24.52,25.75,是,1
B1L00-1-07,你們,B1-00-13.mp3,35.35,36.72,你們,1
B1L00-1-08,我們,B1-00-13.mp3,39.46,40.88,我們,1
B1L00-1-09,他們,B1-00-13.mp3,43.89,45.25,他們,1
B1L00-1-10,人,B1-00-13.mp3,48.13,49.29,人,1
B1L00-1-11,先生,B1-00-13.mp3,66.37,67.91,先生,1
B1L00-1-12,小姐,B1-00-13.mp3,71.02,72.92,小姐,2
B1L00-1-13,太太,B1-00-13.mp3,75.85,77.22,太太,1
B1L01-1-01,新,B1-01-1-2.mp3,5.38,6.69,新,1
B1L01-1-02,同學,B1-01-1-2.mp3,10.09,11.88,同學,1
B1L01-1-03,她,B1-01-1-2.mp3,19.38,20.59,她,1
B1L01-1-04,誰,B1-01-1-2.mp3,23.9,25.36,誰,1
B1L01-1-05,叫,B1-01-1-2.mp3,31.93,33.14,叫,1
B1L01-1-06,姓,B1-01-1-2.mp3,38.16,39.39,姓,1
B1L01-1-07,很,B1-01-1-2.mp3,48.67,50.09,很,1
B1L01-1-08,可愛,B1-01-1-2.mp3,53.65,55.28,可愛,1
B1L01-1-09,哪,B1-01-1-2.mp3,62.89,64.2,哪,1
B1L01-1-10,國,B1-01-1-2.mp3,70.36,71.65,國,1
B1L01-1-11,妳,B1-01-1-2.mp3,83.19,84.59,妳,1
B1L01-1-12,知道,B1-01-1-2.mp3,88.32,89.76,知道,1
B1L01-1-13,嗎,B1-01-1-2.mp3,93.5,94.54,媽,4
B1L01-1-14,日本,B1-01-1-2.mp3,104.27,105.83,日本,1
B1L01-1-15,臺灣/台灣,B1-01-1-2.mp3,106.91,108.41,臺灣,1
B1L01-1-16,中國,B1-01-1-2.mp3,109.5,111.15,中國,2
B1L01-1-17,美國,B1-01-1-2.mp3,112.17,113.88,美國,2
B1L01-1-18,英國,B1-01-1-2.mp3,115.03,116.74,英國,1
B1L01-1-19,漂亮,B1-01-1-2.mp3,127.59,129.07,漂亮,1
