Traditional,Simplified,Pinyin,Meaning
啊,啊,a,"P: an interrogative final particle, used when answer is assumed; a phrase final particle, indicates affirmation, exclamation, etc. [PAVC-101]"
不,不,bù,A: not [PAVC-101]
貴姓,贵姓,guìxìng,IE: what is your last name? [PAVC-101]
國,国,guó,"N: country, nation [PAVC-101]"
好,好,hǎo,"SV: to be good, well [PAVC-101]; A: very, quite [PAVC-102]"
華人,华人,Huárén,N: Chinese or foreign citizen of Chinese origin [PAVC-101]
叫,叫,jiào,"V: to be called, to call [PAVC-101]"
李,李,lǐ,N: a common Chinese surname (Li) [PAVC-101]
嗎,吗,ma,P: question particle [PAVC-101]
美,美,měi,SV: to be beautiful [PAVC-101]
美國,美国,Měiguó,"N: USA, America [PAVC-101]"
美國人,美国人,Měiguórén,N: American [PAVC-101]
名字,名字,míngzì,N: given name [PAVC-101]
哪,哪,nǎ,QW: which? [PAVC-101]
你,你,nǐ,PN: you [PAVC-101]
您,您,nín,PN: you (formal usage) [PAVC-101]
人,人,rén,N: person [PAVC-101]
誰,谁,shéi,QW: who? whom? [PAVC-101]
什麼,什么,shénme,QW: what? [PAVC-101]
是,是,shì,"V: to be (am, are, is) [PAVC-101]"
他,他,tā,"PN: he, him; she, her [PAVC-101]"
她,她,tā,"PN: she, her [PAVC-101]"
臺灣,台湾,Táiwān,N: Taiwan (first character also written 台) [PAVC-101]
台灣,台湾,Táiwān,N: Taiwan (first character also written 臺) [PAVC-101]
王,王,wáng,N: common Chinese surname (Wang) [PAVC-101]
我,我,wǒ,"PN: I, me [PAVC-101]"
先生,先生,xiānshēng,"N: Mr, Sir, gentleman, husband [PAVC-101]"
姓,姓,xìng,"V, N: surname, family name [PAVC-101]"
英國,英国,Yīngguó,"N: England, English [PAVC-101]"
中國,中国,Zhōngguó,N: China [PAVC-101]
好久不見,好久不见,hǎojiǔbújiàn,IE: long time no see [PAVC-102]
很,很,hěn,A: very [PAVC-102]
見,见,jiàn,"V: to see, to meet [PAVC-102]"
久,久,jiǔ,SV: to be a long time [PAVC-102]
冷,冷,lěng,SV: to be cold [PAVC-102]
忙,忙,máng,SV: to be busy [PAVC-102]
