ID,Grammar,Level,Example
1,繫動詞,1,我是學生。
2,表所有「的」,1,這是爸爸的鞋子。
3,「的」省略用法,1,我_媽媽。
4,不,1,A：你是學生嗎？B：我不是（學生）。
5,這/那/哪,1,1. 這是什麼？2. 那是誰？3. 你是哪國人？
6,什麼,1,你愛吃什麼？這是什麼？
7,嗎,1,你喜歡喝咖啡嗎？
8,在1,1*,他在學校。
9,地點表達,1*,臺灣臺中中山北路123號
10,時間表達,1*,他的生日是一九九五年六月十三日。現在是下午兩點三十分。
11,稱數法 ,1*,"2   二39  三十九108 一百零八110 一百一（十）1,000 一千1,018 一千零一十八10,000 一萬10,890 一萬零八百九十"
12,數+量,1*,一本書一個人
13,誰,1*,你喜歡誰？誰在教室？
14,哪（裡/兒）,1*,郵局在哪（裡/兒）？
15,A-not-A,1*,你喜歡不喜歡喝咖啡？
16,Vs（的）N,2,這是一部很好看的電影。
17,V了1,2,我昨天買了很多書。
18,和1,2,這間餐廳的點心很棒，大人和小孩都喜歡。
19,沒（有）1,2,圖書館附近沒有公園。我沒錢。
20,會1,2,你今年會出國嗎？
21,V著1,2,他戴著帽子。
22,序數,2,這是我第一次來臺灣。
23,如果,2,如果下雨，我就不出門。
24,可以1,2,上課不可以吃東西。
25,要2,2,你要記得打電話給王老師。
26,要3,2,你今天要一起吃飯嗎？
27,時量補語,2,他已經來臺灣一個月了。
28,但是,2,這個箱子很大，但是裡面的東西很輕。
29,能1,2,他的車能坐七個人。
30,V過1,2,我看過這部電影。
31,就1,2,你回到家就給我打電話。
32,「的」後接成分省略,2,A：你喜歡藍色外套還是黑色外套？B：我喜歡藍的。
33,會2,2,你會不會開車？
34,能2,2,他感冒了，今天不能運動。
35,要1,2,我要出去了，你有什麼話快一點說吧。
36,賓+被+V,2,盒子被打開了。
37,V+Vs,2,你吃飽了嗎？
38,跟2,2,他跟我說了一個很有意思的故事。
39,想,2,妹妹想吃冰淇淋。
40,和2,2,妹妹很喜歡和爸爸聊天。
41,從1,2,我從法國來。
42,用,2,他會用筷子吃飯。
43,在2/正在V,2,學生在踢足球。媽媽正在包餃子。
44,呢1,2,他是德國人，你呢？
45,（雖然），可是,2,雖然他不是很有錢，可是他很快樂。我想出國玩，可是錢不夠。
46,N+們,2,孩子們都在外面玩。
47,開始V,2,我們十點開始上課。
48,怎麼,2,從這裡到車站怎麼走？
49,可以2,2,你可以看懂中文菜單嗎？
50,為什麼,2,你為什麼吃不下飯？
51,給,2,他給我一本書。
52,V見,2,我看見李明華的腳踏車在樓下。
53,V了2,2,天氣變了。天氣冷了。
54,（請）不要,2,請不要說話！
55,數字+幾,2,這條路上有十幾間餐廳。
56,請,2,請你走過來。
57,V得+補語,2,王美美的中文字寫得很漂亮。衣服洗得很乾淨。
58,幫,2,你可以幫我去郵局寄信嗎？
59,以前,2,我以前在醫院工作過。他常常睡覺以前看書。
60,V出1,2,王美美一走出餐廳就看見室友。
61,多/少,2,你可以多吃一點水果。哥哥應該少喝點啤酒。
62,也,2*,他會說中文，也會說日文。
63,在3,2*,他在聖誕節的時候去美國。
64,以後,2*,吃完早餐以後，他就去上學了。兩個月以後我要去日本。
65,怎麼樣,2*,今天天氣怎麼樣？
66,幾/多少1,2*,從臺北到臺中，坐火車要幾個小時？啤酒一罐多少錢？
67,怎麼辦,2*,我今天忘了帶錢，怎麼辦？
68,跟1,2*,我跟姐姐一起到圖書館借書。
69,請問,2*,請問你叫什麼名字？
70,好嗎,2*,請你再說一次，好嗎？
71,怎麼了,2*,李明華今天沒來上班，他怎麼了？
72,V到2/在,2*,阿姨走到對面的超市去買菜。叔叔一直住在臺北。
73,從......到......1,2*,這間公司的上班時間是從早上八點到下午五點。
74,從......到......2,2*,從臺北到南投開車要三個半小時。
75,都1,2*,我們都喜歡慢跑。
76,V來/去1,2*,你的東西我拿來了。他跑去學校了。
77,因為......所以......,2*,因為他們沒有錢，所以不能出國旅行。
78,有的......有的......,2*,班上的同學有的會說英文，有的會說法文。
79,到......（去/來）+VP,2*,你要到哪裡去旅行？他們到臺灣學中文。
80,太Vs了,2*,這家飯店太貴了，我不要住。
81,......還是......,2*,爸爸今天晚上想吃飯還是吃麵？
82,又......又......,2*,這家餐廳又便宜又有名。
83,有（一）點Vs,2*,我有一點累。今天有一點冷。
84,（在） PW 的 N,2*,在桌上的電腦是我弟弟的。
85,從2,2*,從早上開始，郵局排隊的人就很多。
86,V起來1,2*,他站起來走出房間。
87,Vs一點,2*,搬家的時候要小心一點。
88,數詞+多（量詞）,2*,他們聊天聊了一個多小時。
89,V到1,2*,王美美今天上課上到下午五點。
90,又1,2*,他又忘了寫功課。
91,又2,2*,他去了臺中，又去了高雄。他買了一件衣服，又買了一條褲子。
92,V過來1/過去,2*,小孩笑著向我跑過來。我在這邊停車，你可以先走過去找朋友。
93,V下來/下去1,2*,大家到了可以找地方坐下來休息。你可以從10樓走下去嗎？
94,A比B ......,2*,弟弟比哥哥高。
95,A跟B一樣......,2*,這本書跟那本書一樣貴。
96,一......就......,2*,他們一下課就回家。
97,（是）......的,2*,我是從美國來的。
98,好/難+V,2*,這個字很難寫。三明治很好做。
99,了......就......,2*,我吃了早飯就去上課。
100,從......往......,2*,從學校往圖書館走就到了。
101,A離B......,2*,我家離學校走路只要十分鐘。
102,VP 的 N,2*,我認識一位會說德文的英文老師。
103,多+Vs？,2*,你哥哥多高？
104,V進/出/上/回+（......）來/去,2*,電梯等太久了，我從二樓走上來。你可以從這條路走上去就到了。你說的書我買回來了。照片洗好了，你可以拿回去了。衣服拿進來吧，外面好像快下雨了。我帶回了一個禮物（來）。他走進去書店，買了三本書。李明華走進郵局寄信（去）。弟弟從教室跑出來。老師說先休息十分鐘，大家就跑出去玩了。
105,零代詞,2*,他看了菜單後，決定點一份三明治。
106,概數,2*,A：你吃了幾個餃子？B：十幾個。
107,話題優先,2*,筆，幾塊錢一枝呢？
108,V過2,3,我今天早上已經看過電視新聞了。
109,V著2,3,他們吃著餅乾看電視。
110,V到3,3,他找到那家超市了。
111,才1,3,他看了報告後才同意醫生的說法。
112,才4,3,我上次見到你的時候，你才十一歲。
113,讓1,3,睡前喝杯熱牛奶，可以讓我睡得更好。
114,讓2,3,能不能讓我在這兒坐著休息一下？
115,叫1,3,老闆叫我下午跟他一起去開會。
116,叫2,3,我叫人去買便當回來。
117,呢2,3,你什麼時候可以開始工作呢？
118,沒（有）2,3,你們參觀過校園沒有？
119,必須,3,這場會議很重要，你必須準時參加。
120,到,3,三年級到六年級的同學，下課後都要留下來練習跳舞。
121,要是......就......,3,你要是發燒，今天就在家休息吧。
122,......的話,3,下雨的話，我就不去了。
123,A沒有B（這/那麼）...... ,3,事情沒有你想的那麼嚴重。這盤豆腐吃起來沒有炒麵這麼辣。
124,不但......而且......,3,這個故事不但容易了解， 而且很有意思。
125,不但......還/也......,3,在超商不但可以買東西還可以寄東西。林先生不但是個好老師，也是一位好父親。
126,而且,3,臺灣夏天很熱，而且很濕。
127,真Vs,3,那個房子真不錯，而且就在學校附近。
128,越......越......,3,颱風來了，雨越下越大。
129,越來越......,3,他的中文越來越好了。
130,本來,3,我們本來不認識，後來聊了一下就熟了。
131,然後,3,我喜歡先吃菜再吃肉，然後才吃飯。
132,一邊......一邊......,3,他一邊吃飯一邊看手機。
133,先......再......,3,大家先找位子再點菜。
134,就要......了,3,下個星期就要開學了。
135,快要......了,3,暑假快要結束了。
136,V一下,3,我帶你去附近的圖書館參觀一下。
137,（當）......的時候,3,他生氣的時候，最好不要跟他開玩笑。
138,V上,3,他剛剛又走上樓，不知去拿什麼東西。
139,V下,3,他們選了一個離門口最近的位子坐下。
140,V起,3,他拿起筆寫下電話和地址。
141,V滿,3,公車上站滿了人。
142,（也）......也......,3,草莓可以做果汁也可以做蛋糕。這個地點可以做生意也可以租人。
143,有時候......有時候......,3,百貨公司的活動有時候是打折，有時候是送禮物。
144,對,3,李小姐聽到消息後，開心地對我笑了笑。
145,對......有興趣,3,他對畫畫很有興趣，以後想當畫家。
146,替,3,你可以替我把禮物包起來嗎？
147,為了,3,他為了學中文到臺灣來。為了賺更多錢，他打了好幾份工。
148,動詞重疊（ABAB）,3,寒假要去哪裡玩，我們可以一起討論討論。
149,狀態動詞重疊做謂語AA/AABB,3,我的室友眼睛大大的，頭髮長長的。他每天都穿得漂漂亮亮的。
150,狀態動詞重疊做定語,3,這間店的蛋糕很有名，總在短短的時間內就賣完了。
151,狀態動詞重疊做狀語,3,安安靜靜地坐著。好好地休息。
152,VV看,3,這個麵包很好吃，你吃吃看。
153,還沒（有）,3,我還沒給你剛剛買火車票的錢。我才剛回國，現在還沒有時間跟妹妹見面。
154,不太/不很,3,你住的地方不太好找，我花了一點時間才找到。我的位子離老師太遠了，所以聽得不很清楚。
155,不用/不必,3,他在外面租了房子，這學期不用再住在學校了。我有一個背包，所以不必帶行李箱。
156,是不是+VP,3,你臉色不太好，是不是生病了？
157,好不好,3,我們選個地點，開店做生意好不好？
158,好+幾/多/些+量詞,3,他很喜歡吃餃子，每次都吃好幾盤。我認識他已經有好多年了。爸爸已經出國好些天了，應該快回來了。
159,結構助詞「地」,3,他慢慢地走。
160,不知道......,3,不知道明天早上六點能不能起得來。
161,那麼,3,如果你不同意，那麼你建議我們該怎麼做呢？
162,那,3,A：冰箱裡的東西都可以自己拿來吃。B：謝謝，那我就不客氣了。
163,（請）別,3,下了飛機以後，別忘了打個電話。
164,（請）+VP,3,去洗手！來這裡排隊！請小心開車！保持安靜！
165,還是......吧,3,現在排隊的人太多了，我們還是等一下再來吧！
166,應該1,3*,運動後應該把汗擦乾。
167,應該2,3*,作業應該準時交給老師。
168,可以3,3*,游泳可以讓身體更健康。
169,V起來2,3*,他一聽到消息就開心地笑起來。
170,V起來3,3*,夏天到了，冬天的衣服可以收起來了。
171,V下去2,3*,時間到了，我不能再說下去了。
172,才2,3*,學語言要多練習，才能學得好。
173,才3,3*,他才出門，就開始下雨了。
174,就2,3*,這條街有很多銀行，光這個路口就有四家。
175,還1,3*,這家餐廳的水比飲料還貴。
176,願意,3*,如果有適合的工作，你願意接受嗎？
177,只要......就......,3*,他只要有空，就會去參加這次的派對。
178,只有......才......,3*,你只有在學中文的環境才學得好。
179,只好,3*,外面下起了大雨，我們只好留在飯店裡。
180,不管......都......,3*,如果你有問題 ，不管什麼時候都可以打電話給我。
181,一M比一M......,3*,秋天到了，天氣開始一天比一天冷。
182,Vs得多,3*,他哥哥的年紀比他大得多。
183,尤其（是）,3*,百貨公司常常有很多人，尤其是週末和假日。
184,V 得/不 了,3*,這麼多東西你拿得了嗎？我一個人吃不了40個餃子。
185,V得/不......（表可能）,3*,他看得懂中文菜單。我今天看不完這本書。
186,V 得/不 下,3*,這個房間放得下沙發嗎？我的書包放不下這麼多書。
187,疑問代詞 ,3*,這裡有很多位子，你想坐在哪裡都可以。
188,差不多,3*,我們派對可以開始了，客人差不多都到了。
189,Vs極了/得不得了/得很,3*,他終於買到演唱會的門票，心裡高興極了。這間店的空間雖然不大，但是每天生意都好得不得了。這個香蕉蛋糕的作法簡單得很。
190,Vs死了,3*,學校裡的功課忙死了，下課還要去打工。
191,Vs壞了,3*,他忙了一整天都沒吃東西，肚子餓壞了。
192,Vs了一點,3*,雖然排隊的人多了一點，但這間店的牛肉麵非常有名。
193,把O V（一）V,3*,今天天氣不錯，記得出門前把衣服洗一洗。
194,把 O V到......（來/去）,3*,請你把車開到停車場。媽媽把傘送到學校來。弟弟把大衣拿到洗衣店去。
195,把 O V 了,3*,這件衣服穿不下，我打算把它賣了。
196,把......V+結果補語,3*,他把菜洗好了。
197,把 O V-在 PW,3*,我把書放在桌子上。
198,把+N1+V給+N2,3*,回家後再麻煩你把郵件寄給我。
199,被+（N）+V得,3*,鄰居的聲音太大了，妹妹被吵得睡不著。
200,其實,3*,一個禮拜運動兩次，其實不難。
201,什麼都......就是......,3*,他什麼都吃，就是不敢吃臭豆腐。
202,V好,3*,颱風快來了，媽媽把食物跟水都先買好了。
203,V完,3*,他剛去市場買完菜。
204,VP+VP(連動),3*,我要回家吃飯了。
205,才......就......,3*,我跟他才談沒多久，他就有事先離開了。
206,時段+否定,3*,他兩天沒睡覺了，讓他多睡一點。
207,從......起,3*,從現在起，你應該多吃菜少吃肉。
208,V  得/不 起,3*,這支手錶現在在打折，一般學生也買得起。
209,V （得/不）出來,3*,從他說話的樣子來看，感覺不出來他很緊張。
210,V住,3*,姐姐學一遍，就記住所有作法了。
211,V著（ㄓㄠˊ）,3*,他喝完牛奶很快就睡著了。
212,V 得/不 動,3*,你拿得動這些書架嗎？
213,V慣,3*,他已經過慣了城市的生活，去鄉下常覺得不習慣。
214,V掉,3*,今天生意很好，一下子就賣掉了四雙皮鞋。
215,V個不停/沒完,3*,他很喜歡跳舞，每次聽到音樂就跳個不停。他對旅遊很有興趣，每次一講都講個沒完。
216,V個夠,3*,這次演唱會一共有三十首歌，你可以一次聽個夠。
217,PW+V（存現）,3*,餐桌上放著很多新鮮的水果。
218,會......的,3*,長大後，人的想法是會改變的。
219,（連）....../一......都/也+不/沒......,3*,我連家旁邊開了一間健身房都不知道。畢業後，我們一次也沒見過。
220,不是......就是......,3*,他週末不是打籃球，就是去慢跑。
221,V（了）（一）V,3*,王小姐高興地笑了笑。
222,一M一M ......,3*,他們一步一步爬上去。
223,不再......了,3*,找到工作後，他現在不再擔心錢的問題了。
224,一點也/都+不/沒,3*,年輕時，整晚不睡一點都不累。我昨晚一點酒也沒喝。
225,從來+不/沒......,3*,李明華從來沒搭過飛機。
226,不/沒+嗎,3*,你今天怎麼那麼早就回家了，你不舒服嗎？你怎麼站在外面，你沒帶鑰匙嗎？
227,不是/沒......嗎,3*,如果參加活動可以認識更多人，這樣不是很好嗎？你怎麼還在家裡，王美美沒跟你說改時間了嗎？
228,......QW......就......QW......,3*,這次作文沒有題目，你想寫什麼就寫什麼。
229,其中,3*,他們兩兄弟，其中一個適合做生意，一個適合教書。
230,等/等等,3*,他很喜歡吃甜食，像是巧克力、蛋糕、冰淇淋等。
