ID,Traditional,Simplified,Level,Context,WritingFreq,SpeakingFreq,MOE,Zhuyin,Pinyin,POS,Meaning,Compounds,Examples
1,愛,爱,1,核心詞,535,681,"[[""愛"", [""39542""]]]",ㄞˋ,ài,Vs/N,to love / love,,我愛你。他很愛吃水果。 / 爸爸媽媽對孩子的愛很多。
2,吧,吧,1,核心詞,706,748,"[[""吧"", [""32"", ""103""]]]",˙ㄅㄚ,ba,Ptc,"final particle (for confirming, request)",走吧。,你是從英國來的吧？我們一起去運動吧！
3,八,八,1,核心詞,214,163,"[[""八"", [""1""]]]",ㄅㄚ,bā,N,eight,八個，八張，八年。,他買了八個包子。
4,爸爸,爸爸,1,核心詞,226,806,"[[""爸爸"", [""82""]]]",ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bàba,N,father,,我爸爸喜歡看電影。爸爸，生日快樂。
4,爸,爸,1,核心詞,226,806,"[[""爸"", [""81""]]]",ㄅㄚˋ ˙ㄅㄚ / ㄅㄚˋ,bà,N,father,,我爸爸喜歡看電影。爸爸，生日快樂。
5,百,百,1,核心詞,108,77,"[[""百"", [""157"", ""334""]]]",ㄅㄞˇ,bǎi,N,hundred,一百個人，三百六十五天，一百五十分鐘，一百塊。,一年有三百六十五天。
6,半,半,1,核心詞,334,279,"[[""半"", [""960""]]]",ㄅㄢˋ,bàn,N,half,半個，半杯，半個鐘頭。,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
7,本,本,1,核心詞,745,368,"[[""本"", [""1054""]]]",ㄅㄣˇ,běn,M,"classifier for books, periodicals, files, etc.",一本書，這本書。,老師送給我三本書。
8,不,不,1,核心詞,9278,8951,"[[""不"", [""1911"", ""5466""]]]",ㄅㄨˋ,bù,Adv,not,不是，不要，不會，不好，不去，不漂亮，不喜歡。,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
9,茶,茶,1,10.餐飲、烹飪,89,449,"[[""茶"", [""31581""]]]",ㄔㄚˊ,chá,N,tea,一杯茶。,你有時間坐下來喝杯茶嗎？
10,車子,车子,1,核心詞,275,320,[],ㄔㄜ ˙ㄗ / ㄔㄜ,chēzi,,,,
10,車,车,1,核心詞,275,320,[],ㄔㄜ ˙ㄗ / ㄔㄜ,chē,,,,
11,吃,吃,1,核心詞,668,1438,"[[""吃"", [""21385"", ""31362""]]]",ㄔ,chī,V,"to eat, to have (food)",吃飯，吃飽，吃藥。,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
12,吃飯,吃饭,1,核心詞,60,140,[],ㄔ ㄈㄢˋ,chīfàn,V/Ph,"to eat, to have a meal / to eat rice",回家吃飯，吃了飯。,今天晚上要不要一起去吃飯？吃飯以前要洗手。 / 今天你想吃飯還是吃麵？
