//TBCL/Level 1
爱[愛]	ài	(Vs/N) to love / love [TBCL1]我愛你。他很愛吃水果。爸爸媽媽對孩子的愛很多。
吧[吧]	ba	(Ptc) final particle (for confirming, request) [TBCL1]走吧。你是從英國來的吧？我們一起去運動吧！
八[八]	bā	(N) eight [TBCL1]八個，八張，八年。他買了八個包子。
爸爸[爸爸]	bàba	爸爸/爸 [bàba/bà](N) father [TBCL1]我爸爸喜歡看電影。爸爸，生日快樂。
爸[爸]	bà	爸爸/爸 [bàba/bà](N) father [TBCL1]我爸爸喜歡看電影。爸爸，生日快樂。
百[百]	bǎi	(N) hundred [TBCL1]一百個人，三百六十五天，一百五十分鐘，一百塊。一年有三百六十五天。
半[半]	bàn	(N) half [TBCL1]半個，半杯，半個鐘頭。我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
本[本]	běn	(M) classifier for books, periodicals, files, etc. [TBCL1]一本書，這本書。老師送給我三本書。
不[不]	bù	(Adv) not [TBCL1]不是，不要，不會，不好，不去，不漂亮，不喜歡。他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
茶[茶]	chá	(N) tea [TBCL1]一杯茶。你有時間坐下來喝杯茶嗎？
车子[車子]	chēzi	車子/車 [chēzi/chē][TBCL1]
车[車]	chē	車子/車 [chēzi/chē][TBCL1]
吃[吃]	chī	(V) to eat, to have (food) [TBCL1]吃飯，吃飽，吃藥。今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
吃饭[吃飯]	chīfàn	(V/Ph) to eat, to have a meal / to eat rice [TBCL1]回家吃飯，吃了飯。今天晚上要不要一起去吃飯？吃飯以前要洗手。今天你想吃飯還是吃麵？
打[打]	dǎ	(V) to play (baseball, basketball, bowling, computer games, mobile games, etc.) / to call / to beat, to hit [TBCL1]打球，打電話，打人。我們明天要去打球。我晚上打電話給你。你不應該打人。
大[大]	dà	(Vs) big, large / older [TBCL1]大杯，大房子，大五歲。我們學校很大。他買了一輛很大的車。我們今天在大教室上課。姐姐比我大五歲。
大家[大家]	dàjiā	(N) everybody, everyone [TBCL1]大家一起。大家好！我給大家介紹台灣的小吃。
大学[大學]	dàxué	(N) university [TBCL1]……大學，念大學，上大學。他在大學學中文。
带[帶]	dài	(V) to bring, to take / to lead [TBCL1]帶著＋N，帶＋N來，外帶，帶＋人去＋地方。我今天沒帶手機。這杯咖啡，你要外帶嗎？媽媽帶孩子去公園玩。
到[到]	dào	(V/Prep) to arrive / to [TBCL1]到家，到學校去，到台灣來。十分鐘以後我就到家了。我要到學校去上課。
的[的]	de	(Ptc) possession marker / modifier marker [TBCL1]我的筆，姊姊的工作，學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師。你的書在桌子上。這個是媽媽的杯子。這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。
点[點]	diǎn	(M/V) o'clock / to order [TBCL1]下午三點，點菜，點歌。你明天幾點到學校？我們點三個菜、一個湯。
电话[電話]	diànhuà	(N) telephone, phone [TBCL1]一部電話，電話號碼，打電話。我們家的電話壞了，不能打出去。你的電話號碼幾號？她打電話給我。
弟弟[弟弟]	dìdi	弟弟/弟 [dìdi/dì](N) younger brother [TBCL1]兩個弟弟。我有兩個弟弟。他是我弟弟。
弟[弟]	dì	弟弟/弟 [dìdi/dì](N) younger brother [TBCL1]兩個弟弟。我有兩個弟弟。他是我弟弟。
东西[東西]	dōngxi	(N) things, stuff [TBCL1]什麼東西，吃東西，買東西。我餓了，想吃點東西。我今天買了很多東西。
都[都]	dōu	(Adv) all [TBCL1]大家都到了，我們吃飯吧！我和媽媽都喜歡運動。這些字，我都學過了。
对[對]	duì	(Vs) correct, right [TBCL1]對不對，不對。我們應該坐三點的車，對不對？這個字寫得不對。
对不起[對不起]	duìbùqǐ	(Ph) sorry, excuse me [TBCL1]對不起，我昨天沒來上課。
多[多]	duō	(Vs/Adv/Det) many, much / how much, how many / over [TBCL1]多一點A比B多，多高，多大，兩百多塊，三百多人，一年多，十二點多。我今天吃了很多東西。我的中文書比你的多。你兒子今年多大了？他學了一年多的中文。十二點多了，快吃飯吧！
多少[多少]	duōshǎo	(N) how many, how much [TBCL1]有多少，多少錢。這裡一共有多少人？這枝筆多少錢？
二[二]	èr	(N) two [TBCL1]二十年，二號，二月二日。我的生日是二月二十日。
儿子[兒子]	érzi	(N) son [TBCL1]我兒子，三個兒子。他有一個十歲的兒子。;
分[分]	fēn	(N) minute [TBCL1]幾點幾分。我每天六點十分起床。
高[高]	gāo	(Vs) tall [TBCL1]台灣最高的山是玉山。你知道台北101有多高嗎？
个[個]	ge	(M) classifier for people or objects in general [TBCL1]一個麵包，這個東西，那個小孩，每個人。這個麵包很好吃。我家有五個人。
哥哥[哥哥]	gēge	哥哥/哥 [gēge/gē](N) elder brother [TBCL1]哥哥姊姊，他哥哥。我有兩個哥哥。他是我哥。
哥[哥]	gē	哥哥/哥 [gēge/gē](N) elder brother [TBCL1]哥哥姊姊，他哥哥。我有兩個哥哥。他是我哥。
给[給]	gěi	(V/Prep) to give / to, for [TBCL1]請給我一杯咖啡。我給媽媽買衣服。桌上的杯子，請拿給我。請給我們介紹台灣好玩的地方。
工作[工作]	gōngzuò	(N) work, job, task [TBCL1]做……工作，找工作。他想在大學找一個工作。
国[國]	guó	(N) nation, country [TBCL1]哪國。你是哪國人？
孩子[孩子]	háizi	(N) kids,child, childern / son, daughter [TBCL1]孩子們，每個孩子，兩個孩子。孩子都喜歡玩。他們有兩個孩子，一個兒子，一個女兒。
和[和]	hàn	和 [hàn/hé](Conj/Prep) and / (together) with [TBCL1]……和……，和……一起＋V。我的房間裡有兩張桌子和一張椅子。我和他一起學中文。
和[和]	hé	和 [hàn/hé](Conj/Prep) and / (together) with [TBCL1]……和……，和……一起＋V。我的房間裡有兩張桌子和一張椅子。我和他一起學中文。
号[號]	hào	(N) number / day / grade [TBCL1]三十號，六號三樓，三月六號，大號，中號，小號。我住在163號房。我住在中山路179號。我媽媽的生日是十二月九號。我穿小號的衣服。
好[好]	hǎo	(Vs/Adv/Ph) good, well / very / to say hello to / would you [TBCL1]好累，好漂亮，好痛，好忙，你好，大家好。今天天氣很好。今天是好天氣。他中文說得很好。我今天好累。老師好，同學好。我們一起去吃飯，好嗎？
喝[喝]	hē	(V) to drink [TBCL1]喝茶，喝牛奶，喝湯。你要喝茶嗎？我喜歡在睡覺以前喝一杯牛奶。
很[很]	hěn	(Adv) very, quite [TBCL1]很＋Vs：很大，很高，很快，很漂亮，很快樂。他很高。這個水果很甜。這個字很難寫。
后[後]	hòu	(N) behind / after [TBCL1]後面，在＋N後面，三天後，一年後。我後面坐著一個法國人。;他站在門後玩手機。我三天後就要回國了。
话[話]	huà	(N) words [TBCL1]一句話。我聽不懂你說的話。這句話是什麼意思？
几[幾]	jǐ	(Det) how many, how much / which / a few, several [TBCL1]幾個，幾天，幾個月，幾歲，幾月，幾號，星期幾，幾本，幾張，幾分鐘。你學了幾年的中文？你喝了幾杯咖啡？你今年幾歲？今天是幾號？我這裡有幾本中文書，你想看嗎？你可以等我幾分鐘嗎？
家[家]	jiā	(N/M) home / family / classifier for store, restaurant [TBCL1]回家，在家，我家，一家店，一家餐廳。我家在台中。我下課以後就回家吃飯。我家有四個人。學校旁邊有很多家餐廳。
叫[叫]	jiào	(V) named / to ask [TBCL1]叫（人）做……。你叫什麼名字？我叫王小明。老師叫我們做功課。
脚[腳]	jiǎo	(N) foot [TBCL1]一隻腳，左腳，右腳。走了一天，我的腳很痛。
姊姊[姊姊]	jiějie	姊姊/姐姐/姊/姐 [jiějie/jiě](N) elder sister [TBCL1]我姐。我的姐姐比大我一歲。
姐姐[姐姐]	jiějie	姊姊/姐姐/姊/姐 [jiějie/jiě](N) elder sister [TBCL1]我姐。我的姐姐比大我一歲。
姊[姊]	jiě	姊姊/姐姐/姊/姐 [jiějie/jiě](N) elder sister [TBCL1]我姐。我的姐姐比大我一歲。
姐[姐]	jiě	姊姊/姐姐/姊/姐 [jiějie/jiě](N) elder sister [TBCL1]我姐。我的姐姐比大我一歲。
今年[今年]	jīnnián	(N) this year [TBCL1]今年三月，今年是2020年。我今年五十歲。
今天[今天]	jīntiān	(N) today [TBCL1]今天早上，今天下午三點。我今天要去學校上課。
就[就]	jiù	(Adv) only, merely, just / exactly, precisely [TBCL1]就兩個月，就學了兩年，就是，就在。我就學了兩年中文。學校就在我家旁邊。我們再走三分鐘就到學校了。
久[久]	jiǔ	(Vs) long time [TBCL1]他們在台灣住了很久。
九[九]	jiǔ	(N) nine [TBCL1]九個，九張，九年。我家有九個人。
咖啡[咖啡]	kāfēi	(N) coffee [TBCL1]一杯咖啡，喝咖啡。我喜歡喝咖啡。
看[看]	kàn	(V) to look at, to see, to take a look / to watch / to read / to visit [TBCL1]看電視，看電影，看手機，看書，看朋友。你在看什麼？你看，這些花好漂亮。上課的時候不要看手機。今天晚上我想去看電影。我喜歡看書。你看得懂中文書嗎？我明天去台中看朋友。
可能[可能]	kěnéng	(Vaux) probably, maybe, perhaps [TBCL1]（很）可能會。明天可能會下雨。十點了，他可能不會來了。
可以[可以]	kěyǐ	(Vaux) allowed / could / be able to, can [TBCL1]上課的時候可以吃東西嗎？你可以給我介紹台灣好玩的地方嗎？你可以用中文介紹自己嗎？
块[塊]	kuài	(M) piece / classifier for money and currency units [TBCL1]一塊肉，一塊蛋糕，五塊錢，十塊美金。我中午吃了一塊蛋糕，喝了一杯咖啡。一杯咖啡四十五塊。
来[來]	lái	(V) to come [TBCL1]他來台灣學中文。公車來了。
老[老]	lǎo	(Vs) aged / old, outdated [TBCL1]老先生，老太太，老房子，老朋友。我奶奶很老了，她今年已經九十歲了。我住在一間老房子裡。我們是二十年的老朋友。
老师[老師]	lǎoshī	(N) teacher [TBCL1]三位老師，英文老師。他是我的中文老師。張老師早。
冷[冷]	lěng	(Vs) cold, cool [TBCL1]天氣冷，冷空氣。今天很冷。
两[兩]	liǎng	(N) two, both, pair [TBCL1]兩個，兩天，兩杯酒。桌上有兩杯牛奶。
六[六]	liù	(N) six [TBCL1]六個，六張，六年。我買了六個雞蛋。
路[路]	lù	(N) road,street [TBCL1]一條路，路上，路邊。這條路上有很多車。我住在一心路。
吗[嗎]	ma	(Ptc) final interrogative particle [TBCL1]真的嗎，是……嗎。你是老師嗎？你吃飯了嗎？
买[買]	mǎi	(V) to buy [TBCL1]買……給……。他買了一輛新車。媽媽買了一件新衣服給我。
妈妈[媽媽]	māma	媽媽/媽 [māma/ma](N) mother [TBCL1]我媽媽。我媽媽喜歡看電影。媽媽，生日快樂。
妈[媽]	ma	媽媽/媽 [māma/ma](N) mother [TBCL1]我媽媽。我媽媽喜歡看電影。媽媽，生日快樂。
没[沒]	méi	(Adv) do not have / there is not, not exist / haven't had [TBCL1]沒錢，沒時間。我沒錢了，今天不能跟你們去看電影。教室裡沒人。我家附近沒好吃的餐廳。我沒吃過台灣的小吃。他昨天沒來上課。我還沒吃早飯。
没关系[沒關係]	méiguānxi	(Ph) It's ok. That’s fine. It doesn't matter… [TBCL1]A：「對不起！」 B：「沒關係！」你不去沒關係，我自己去。
妹妹[妹妹]	mèimei	妹妹/妹 [mèimei/mèi](N) younger sister [TBCL1]他妹妹，我的妹妹。她的妹妹是我的同學。
