ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
1,愛,爱,1,535,681,39542,ài,ài,,Vs/N,to love / love,,我愛你。他很愛吃水果。 / 爸爸媽媽對孩子的愛很多。
2,吧,吧,1,706,748,32 103,ba,ba,,Ptc,"final particle (for confirming, request)",走吧。,你是從英國來的吧？我們一起去運動吧！
3,八,八,1,214,163,1,bā,bā,,N,eight,八個，八張，八年。,他買了八個包子。
4,爸爸/爸,爸爸/爸,1,226,806,,bàba/bà,bàba/bà,"[{""Traditional"": ""爸爸"", ""Simplified"": ""爸爸"", ""Pinyin"": ""bàba"", ""PinyinYB"": ""bàba"", ""MOE"": ""82""}, {""Traditional"": ""爸"", ""Simplified"": ""爸"", ""Pinyin"": ""bà"", ""PinyinYB"": ""bà"", ""MOE"": ""81""}]",N,father,,我爸爸喜歡看電影。爸爸，生日快樂。
5,百,百,1,108,77,157 334,bǎi,bǎi,,N,hundred,一百個人，三百六十五天，一百五十分鐘，一百塊。,一年有三百六十五天。
6,半,半,1,334,279,960,bàn,bàn,,N,half,半個，半杯，半個鐘頭。,我吃了半個麵包。我喝了半杯咖啡。我休息半個鐘頭。
7,本,本,1,745,368,1054,běn,běn,,M,"classifier for books, periodicals, files, etc.",一本書，這本書。,老師送給我三本書。
8,不,不,1,9278,8951,1911 5466,bù,bù,,Adv,not,不是，不要，不會，不好，不去，不漂亮，不喜歡。,他不是學生。我不會說英文。他不喜歡吃麵。明天不上課。
9,茶,茶,1,89,449,31581,chá,chá,,N,tea,一杯茶。,你有時間坐下來喝杯茶嗎？
10,車子/車,车子/车,1,275,320,,chēzi/chē,chēzi/chē,"[{""Traditional"": ""車子"", ""Simplified"": ""车子"", ""Pinyin"": ""chēzi"", ""PinyinYB"": ""chēzi"", ""MOE"": """"}, {""Traditional"": ""車"", ""Simplified"": ""车"", ""Pinyin"": ""chē"", ""PinyinYB"": ""chē"", ""MOE"": """"}]",,,,
11,吃,吃,1,668,1438,21385 31362,chī,chī,,V,"to eat, to have (food)",吃飯，吃飽，吃藥。,今天晚餐要吃什麼？我吃飽了！感冒要吃藥才會好。
12,吃飯,吃饭,1,60,140,,chīfàn,chīfàn,,V/Ph,"to eat, to have a meal / to eat rice",回家吃飯，吃了飯。,今天晚上要不要一起去吃飯？吃飯以前要洗手。 / 今天你想吃飯還是吃麵？
13,打,打,1,352,364,6762,dǎ,dǎ,,V,"to play (baseball, basketball, bowling, computer games, mobile games, etc.) / to call / to beat, to hit",打球，打電話，打人。,我們明天要去打球。 / 我晚上打電話給你。 / 你不應該打人。
14,大,大,1,2110,2859,6933 7483,dà,dà,,Vs,"big, large / older",大杯，大房子，大五歲。,我們學校很大。他買了一輛很大的車。我們今天在大教室上課。 / 姐姐比我大五歲。
15,大家,大家,1,464,1712,7168 45136,dàjiā,dàjiā,,N,"everybody, everyone",大家一起。,大家好！我給大家介紹台灣的小吃。
16,大學,大学,1,380,219,7237,dàxué,dàxué,,N,university,……大學，念大學，上大學。,他在大學學中文。
17,帶,带,1,450,684,7560,dài,dài,,V,"to bring, to take / to lead",帶著＋N，帶＋N來，外帶，帶＋人去＋地方。,我今天沒帶手機。這杯咖啡，你要外帶嗎？ / 媽媽帶孩子去公園玩。
18,到,到,1,2297,3229,7667,dào,dào,,V/Prep,to arrive / to,到家，到學校去，到台灣來。,十分鐘以後我就到家了。 / 我要到學校去上課。
19,的,的,1,62002,62578,7457 8310 8568,de,de,,Ptc,possession marker / modifier marker,我的筆，姊姊的工作，學校裡的學生，今天的功課，甜的水果，高高的鼻子吃的東西，教中文的老師。,你的書在桌子上。這個是媽媽的杯子。 / 這家餐廳的東西很好吃。今天的晚餐吃什麼？他有一雙大大的眼睛。我昨天看的電影很好看。會說中文的外國人不少。
20,點,点,1,479,684,8812,diǎn,diǎn,,M/V,o'clock / to order,下午三點，點菜，點歌。,你明天幾點到學校？ / 我們點三個菜、一個湯。
21,電話,电话,1,167,72,8938,diànhuà,diànhuà,,N,"telephone, phone",一部電話，電話號碼，打電話。,我們家的電話壞了，不能打出去。你的電話號碼幾號？她打電話給我。
22,弟弟/弟,弟弟/弟,1,96,88,,dìdi/dì,dìdi/dì,"[{""Traditional"": ""弟弟"", ""Simplified"": ""弟弟"", ""Pinyin"": ""dìdi"", ""PinyinYB"": ""dìdi"", ""MOE"": ""8531""}, {""Traditional"": ""弟"", ""Simplified"": ""弟"", ""Pinyin"": ""dì"", ""PinyinYB"": ""dì"", ""MOE"": ""8528 10822""}]",N,younger brother,兩個弟弟。,我有兩個弟弟。他是我弟弟。
23,東西,东西,1,561,1120,9785 9787,dōngxi,dōngxi,,N,"things, stuff",什麼東西，吃東西，買東西。,我餓了，想吃點東西。我今天買了很多東西。
24,都,都,1,4645,7029,7780 9182,dōu,dōu,,Adv,all,,大家都到了，我們吃飯吧！我和媽媽都喜歡運動。這些字，我都學過了。
25,對,对,1,3485,5883,9499,duì,duì,,Vs,"correct, right",對不對，不對。,我們應該坐三點的車，對不對？這個字寫得不對。
26,對不起,对不起,1,37,65,9507,duìbùqǐ,duìbùqǐ,,Ph,"sorry, excuse me",,對不起，我昨天沒來上課。
27,多,多,1,1236,1594,9365,duō,duō,,Vs/Adv/Det,"many, much / how much, how many / over",多一點A比B多，多高，多大，兩百多塊，三百多人，一年多，十二點多。,我今天吃了很多東西。我的中文書比你的多。 / 你兒子今年多大了？ / 他學了一年多的中文。十二點多了，快吃飯吧！
28,多少,多少,1,207,272,9405,duōshǎo,duōshǎo,,N,"how many, how much",有多少，多少錢。,這裡一共有多少人？這枝筆多少錢？
29,二,二,1,539,227,39931,èr,èr,,N,two,二十年，二號，二月二日。,我的生日是二月二十日。
30,兒子,儿子,1,277,149,39888,érzi,érzi,,N,son,我兒子，三個兒子。,他有一個十歲的兒子。;
31,分,分,1,225,359,5702 5840,fēn,fēn,,N,minute,幾點幾分。,我每天六點十分起床。
32,高,高,1,496,694,16055,gāo,gāo,,Vs,tall,,台灣最高的山是玉山。你知道台北101有多高嗎？
33,個,个,1,9562,20644,15934 15960,ge,ge,,M,classifier for people or objects in general,一個麵包，這個東西，那個小孩，每個人。,這個麵包很好吃。我家有五個人。
34,哥哥/哥,哥哥/哥,1,113,148,,gēge/gē,gēge/gē,"[{""Traditional"": ""哥哥"", ""Simplified"": ""哥哥"", ""Pinyin"": ""gēge"", ""PinyinYB"": ""gēge"", ""MOE"": ""15836""}, {""Traditional"": ""哥"", ""Simplified"": ""哥"", ""Pinyin"": ""gē"", ""PinyinYB"": ""gē"", ""MOE"": ""15835""}]",N,elder brother,哥哥姊姊，他哥哥。,我有兩個哥哥。他是我哥。
35,給,给,1,1039,1401,16048 21535,gěi,gěi,,V/Prep,"to give / to, for",,請給我一杯咖啡。 / 我給媽媽買衣服。桌上的杯子，請拿給我。請給我們介紹台灣好玩的地方。
36,工作,工作,1,904,994,17599,gōngzuò,gōngzuò,,N,"work, job, task",做……工作，找工作。,他想在大學找一個工作。
37,國,国,1,256,363,16933,guó,guó,,N,"nation, country",哪國。,你是哪國人？
38,孩子,孩子,1,1345,1059,19228,háizi,háizi,,N,"kids,child, childern / son, daughter",孩子們，每個孩子，兩個孩子。,孩子都喜歡玩。 / 他們有兩個孩子，一個兒子，一個女兒。
