//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
你[你]	nǐ	(Pron) you [CCCC1]
我[我]	wǒ	(Pron) I, me [CCCC1]
他[他]	tā	他/她 [tā](Pron) he/she, him/her [CCCC1]
她[她]	tā	他/她 [tā](Pron) he/she, him/her [CCCC1]
您[您]	nín	(Pron) (polite form of address) you [CCCC1]
们[們]	men	(Affix) plural affix [CCCC1]
大家[大家]	dàjiā	(N) everyone [CCCC1]
谁[誰]	shéi	(N) who, someone [CCCC1]
名字[名字]	míngzì	名字 [míngzì/míngzi](N) name [CCCC1]
名字[名字]	míngzi	名字 [míngzì/míngzi](N) name [CCCC1]
先生[先生]	xiānsheng	先生 [xiānsheng/xiānshēng](N) Mr. [CCCC1]
先生[先生]	xiānshēng	先生 [xiānsheng/xiānshēng](N) Mr. [CCCC1]
小姐[小姐]	xiǎojiě	(N) Miss [CCCC1]
太太[太太]	tàitai	(N) Mrs. [CCCC1]
女生[女生]	nǚshēng	女(生)/女孩 [nǚ(shēng)/nǚhái](N) girl [CCCC1]
女[女]	nǚ	女(生)/女孩 [nǚ(shēng)/nǚhái](N) girl [CCCC1]
女孩[女孩]	nǚhái	女(生)/女孩 [nǚ(shēng)/nǚhái](N) girl [CCCC1]
男生[男生]	nánshēng	男(生)/男孩 [nán(shēng)/nánhái](N) boy [CCCC1]
男[男]	nán	男(生)/男孩 [nán(shēng)/nánhái](N) boy [CCCC1]
男孩[男孩]	nánhái	男(生)/男孩 [nán(shēng)/nánhái](N) boy [CCCC1]
朋友[朋友]	péngyǒu	朋友 [péngyǒu/péngyou](N) friend [CCCC1]
朋友[朋友]	péngyou	朋友 [péngyǒu/péngyou](N) friend [CCCC1]
家人[家人]	jiārén	(N) family members [CCCC1]
哥哥[哥哥]	gēge	哥(哥) [gē(ge)](N) elder brother [CCCC1]
哥[哥]	gē	哥(哥) [gē(ge)](N) elder brother [CCCC1]
姊姊[姊姊]	jiějie	姊(姊) [jiě(jie)](N) elder sister [CCCC1]
姊[姊]	jiě	姊(姊) [jiě(jie)](N) elder sister [CCCC1]
弟弟[弟弟]	dìdi	弟(弟) [dì(di)](N) younger brother [CCCC1]
弟[弟]	dì	弟(弟) [dì(di)](N) younger brother [CCCC1]
妹妹[妹妹]	mèimei	妹(妹) [mèi(mei)](N) younger sister [CCCC1]
妹[妹]	mèi	妹(妹) [mèi(mei)](N) younger sister [CCCC1]
爸爸[爸爸]	bàba	爸(爸) [bà(ba)](N) father [CCCC1]
爸[爸]	bà	爸(爸) [bà(ba)](N) father [CCCC1]
妈妈[媽媽]	māma	媽(媽) [mā(ma)](N) mother [CCCC1]
妈[媽]	mā	媽(媽) [mā(ma)](N) mother [CCCC1]
爷爷[爺爺]	yéye	(N) grandfather [CCCC1]
奶奶[奶奶]	nǎinai	(N) grandmother [CCCC1]
阿姨[阿姨]	āyí	(N) aunt [CCCC1]
儿子[兒子]	érzi	兒(子) [ér(zi)](N) son [CCCC1]
儿[兒]	ér	兒(子) [ér(zi)](N) son [CCCC1]
女儿[女兒]	nǚ'ér	(N) daughter [CCCC1]
娃娃[娃娃]	wáwa	娃(娃) [wá(wa)](N) baby; doll [CCCC1]
